year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalNGCane,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigFreq,MillMudAmt,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH,IrrigAlloc
1957,15/05/1957,135,0,15-May,0,none,out,-1,0,-1,0.000,135,0,0,348,-1,21,2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.165,0,0,537.2,141.437,85.913,361.549,0,181.995,181.995,3.95,8901.216,256.605,9157.821,105113.672,0,0,300.202,29.79,25.054,1.266,5.779,3135.951,350,0.014,20.2,0.1,8.1,0,0,20.372,30.209,18.444,77.7,Burdekin,AyrDPI,Kala,1957,Furrow,BareFallow,77,Surf1,200,140,LowFreq,0,P2R,15MayV1R4,T2,537.2,361.549,227.35,409.345,56.11,26.32,0,0,0,,0,999
1958,15/08/1958,227,1957,15-May,1,sugar,alive,0,457,1957,15/5/1957,135,0,0,348,1958,21,2039,7794.85,6896.97,6133.85,188.051,3144.58,16610,0,0,0,17.668,244.3,165.055,165.055,256.605,8901.216,9157.821,105113.672,1.129,18,2520,1058.9,892.852,1044.637,501.957,1407.205,333.23,1740.435,18.672,8557.285,7.156,8564.441,102568.981,200,470.717,599.178,71.732,277.488,16.553,14.194,6328.179,350,0.963,4705.9,17.2,1882.4,0,0,17.154,28.626,18.937,136.1,Burdekin,AyrDPI,Kala,1957,Furrow,BareFallow,77,Surf1,200,140,LowFreq,0,P2R,15MayV1R4,T2,3578.9,3021.957,1937.489,2270.719,365.773,294.041,6.22282183366607,0.1080482752875,6.3316835016835,0.940255,31.446,999
1959,15/09/1959,258,1958,15-May,1,sugar,alive,1,396,1957,15/8/1958,135,0,0,348,1959,21,2039,6688.32,5842.08,5197.15,157.871,2386.48,14911.7,18118.521,7247.41,99.692,15.693,138.5,66.032,1.992,7.156,8557.285,8564.441,102568.981,1.09,15,2100,875.3,807.412,778.031,526.067,1156.942,243.755,1400.698,3.636,8495.095,5.561,8500.655,102132.905,200,314.247,382.473,15.434,19.464,3.35,3.368,7064.144,350,0.961,4625.8,17,1850.3,0,0,16.929,28.362,19.656,162.8,Burdekin,AyrDPI,Kala,1957,Furrow,BareFallow,77,Surf1,200,140,LowFreq,0,P2R,15MayV1R4,T2,2975.3,2626.067,1585.443,1829.198,38.248,22.814,6.01168972459576,0.112708806609276,6.19101960784314,0.789355,23.865,999
1960,14/10/1960,288,1959,15-May,1,sugar,alive,2,395,1957,15/9/1959,135,0,0,348,1960,21,2039,6642.04,5809.92,5195.48,157.901,2494.98,14465.6,16606.92,6642.77,93.34,16.535,127.1,55.191,0,5.561,8495.095,8500.655,102132.905,1.081,16,2240,1112.7,968.832,1033.541,507.994,1101.685,254.687,1356.372,9.856,8429.34,6.858,8436.198,101350.854,200,309.354,384.444,17.811,23.134,3.36,3.755,7558.959,350,0.968,4900.2,18,1960.1,0,0,17.818,28.654,20.431,210.1,Burdekin,AyrDPI,Kala,1957,Furrow,BareFallow,77,Surf1,200,140,LowFreq,0,P2R,15MayV1R4,T2,3352.7,2747.994,2002.373,2257.06,44.305,26.494,5.74604602484576,0.116414228544971,5.86992565055762,0.789505,24.95,999
1961,14/11/1961,318,1960,15-May,1,sugar,alive,3,396,1957,14/10/1960,135,0,0,348,1961,21,2039,6804.93,6009.64,5353.51,164.46,2905.76,14514.1,16460.925,6584.37,91.168,18.832,133.5,49.145,0,6.858,8429.34,8436.198,101350.854,1.071,19,2660,502.8,829.749,769.676,277.495,1276.93,273.886,1550.817,4.788,8346.124,7.463,8353.587,100304.968,200,307.718,396.49,22.406,37.276,3.535,4.61,7710.818,350,0.953,4356.1,16,1742.4,0,0,16.991,29.225,21.175,63.2,Burdekin,AyrDPI,Kala,1957,Furrow,BareFallow,77,Surf1,200,140,LowFreq,0,P2R,15MayV1R4,T2,3162.8,2937.495,1599.425,1873.311,63.217,40.811,5.59864782748567,0.106047328601634,5.28810289389068,0.8223,29.058,999
1962,14/12/1962,348,1961,15-May,1,sugar,alive,4,395,1957,14/11/1961,135,0,0,348,1962,21,2039,7049.51,6123.41,5503.71,168.036,2948.13,15458,16039.701,6415.881,86.4,18.68,131.2,61.704,0,7.463,8346.124,8353.587,100304.968,1.059,16,2240,1004.6,879.868,770.747,592.996,1285.049,295.102,1580.151,5.643,8260.882,7.085,8267.967,99173.211,200,305.596,396.996,28.342,36.643,3.588,5.638,7975.335,350,0.938,3981.9,14.6,1592.8,0,0,18.116,29.723,20.509,102.1,Burdekin,AyrDPI,Kala,1957,Furrow,BareFallow,77,Surf1,200,140,LowFreq,0,P2R,15MayV1R4,T2,3244.6,2832.996,1650.615,1945.717,68.573,40.231,5.9313885370823,0.10634173569488,6.24669144981413,0.84018,29.481,999
1963,15/05/1963,135,0,15-May,1,none,out,-1,0,1957,0.000,135,0,0,348,-1,21,2039,0,0,0,0,0,0,16523.901,6609.56,86.066,0,0,75.537,11.497,7.085,8260.882,8267.967,99173.211,1.047,0,0,1011,541.848,159.716,426.616,0,215.488,215.488,0.588,8336.404,36.041,8372.445,100367.896,0,0,59.869,2.787,3.782,0.139,0.278,4944.171,350,0.421,779.9,4.1,312,0,0,21.056,30.393,17.379,91.9,Burdekin,AyrDPI,Kala,1957,Furrow,BareFallow,77,Surf1,200,140,LowFreq,0,P2R,15MayV1R4,T2,1011,426.616,701.564,917.052,6.708,3.921,0,0,0,,0,999
1964,14/08/1964,227,1963,15-May,2,sugar,alive,0,457,1963,15/5/1963,135,0,0,348,1964,21,2039,7752.71,6832.66,6116.37,186.952,3065.49,16363.4,0,0,0,17.269,203.9,169.486,169.486,36.041,8336.404,8372.445,100367.896,1.046,18,2520,617,705.513,804.207,490.322,1442.191,291.274,1733.466,7.87,8101.236,6.683,8107.919,97130.404,200,415.931,493.594,20.97,63.283,11.109,4.626,7318.949,350,0.974,5216.7,19.1,2086.7,0,0,16.45,28.736,19.049,92.7,Burdekin,AyrDPI,Kala,1957,Furrow,BareFallow,77,Surf1,200,140,LowFreq,0,P2R,15MayV1R4,T2,3137,3010.322,1509.72,1800.994,95.362,74.392,6.21036553564702,0.107848668505757,6.29468013468014,0.93476,30.655,999
1965,14/09/1965,257,1964,15-May,2,sugar,alive,1,396,1963,14/8/1964,135,0,0,348,1965,21,2039,6456.2,5656.33,5006.55,152.626,2571.79,14496.4,18343.1,7337.24,101.488,17.826,127.5,63.3,0,6.683,8101.236,8107.919,97130.404,1.027,16,2240,831.2,815.691,778.937,451.341,1209.522,276.39,1485.911,4.451,8029.782,4.549,8034.331,96518.863,200,303.18,378.852,18.044,31.675,3.674,3.837,6960.399,350,0.952,4324.4,15.9,1729.8,0,0,17.287,29.163,19.689,107.4,Burdekin,AyrDPI,Kala,1957,Furrow,BareFallow,77,Surf1,200,140,LowFreq,0,P2R,15MayV1R4,T2,3071.2,2691.341,1594.628,1871.018,53.393,35.349,5.67100192803513,0.102715438542416,5.67382899628253,0.76313,25.718,999
1966,14/10/1966,287,1965,15-May,2,sugar,alive,2,395,1963,14/9/1965,135,0,0,348,1966,21,2039,6753.4,5901.81,5234.68,159.087,2624.29,15187.1,15997.699,6399.08,87.496,17.39,120.1,53.961,0,4.549,8029.782,8034.331,96518.863,1.02,18,2520,392.1,697.576,761.599,281.217,1211.027,242.898,1453.924,4.139,7974.585,5.461,7980.046,95897.299,200,296.115,371.678,17.313,25.104,3.235,3.688,7358.338,350,0.959,4559.9,16.8,1824,0,0,17.785,28.871,19.833,102.9,Burdekin,AyrDPI,Kala,1957,Furrow,BareFallow,77,Surf1,200,140,LowFreq,0,P2R,15MayV1R4,T2,2912.1,2801.217,1459.175,1702.073,45.652,28.339,5.67921014330557,0.109419061794152,5.35646464646465,0.795435,26.243,999
