year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalNGCane,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAlloc,IrrigAmt,IrrigFreq,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH
1956,14/05/1956,135,0,15-May,0,none,out,-1,0,-1,0.000,135,0,0,348,-1,21,2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.165,0,0,1107.4,437.763,198.2,623.852,0,313.566,313.566,9.348,8922.433,151.162,9073.595,105291.211,0,0,278.857,58.149,80.237,2.007,10.587,2963.416,350,0.005,7.6,0,3,0,0,21.666,29.912,16.328,67.8,Burdekin,AyrDPI,Kala,1956,Furrow,BareFallow,77,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15MayV1R4,T2,1107.4,623.852,635.963,949.529,140.393,82.244,0,0,0,,0
1957,14/08/1957,226,1956,15-May,1,sugar,alive,0,457,1956,14/5/1956,135,0,0,348,1957,21,2039,7762.73,6905.79,6057.82,186.179,3004.69,17049.1,0,0,0,16.951,245,195.071,195.071,151.162,8922.433,9073.595,105291.211,1.131,15,1650,1015,609.362,487.474,634.091,1342.031,352.238,1694.269,11.266,8580.055,8.474,8588.529,102804.359,200,474.446,599.776,80.645,165.322,7.958,15.646,6288.445,350,0.954,4396,16.1,1758.4,0,0,16.566,27.821,18.379,77.7,Burdekin,AyrDPI,Kala,1956,Furrow,BareFallow,77,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15MayV1R4,T2,2665,2284.091,1096.836,1449.074,253.925,173.28,8.15112007358726,0.10988750900831,8.86566666666667,0.930895,30.047
1958,14/09/1958,257,1957,15-May,1,sugar,alive,1,396,1956,14/8/1957,135,0,0,348,1958,21,2039,6228.87,5387.19,4860.49,146.342,2265.38,13683.8,18228.323,7291.33,102.636,16.14,152.2,68.966,4.926,8.474,8580.055,8588.529,102804.359,1.093,13,1430,1018.3,521.611,530.056,490.015,1148.836,261.205,1410.041,3.976,8500.757,7.5,8508.257,102125.708,200,336.663,403.268,18.258,11.669,3.327,3.924,7377.946,350,0.964,4759.2,17.5,1903.7,0,0,17.747,29.273,19.931,136.1,Burdekin,AyrDPI,Kala,1956,Furrow,BareFallow,77,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15MayV1R4,T2,2448.3,1920.015,1051.667,1312.872,33.254,14.996,7.62191962041963,0.103785634602114,7.78414893617021,0.73171,22.654
1959,14/10/1959,287,1958,15-May,1,sugar,alive,2,395,1956,14/9/1958,135,0,0,348,1959,21,2039,6278.55,5454.6,4894.68,147.96,2338.11,13838.7,15676.554,6270.622,95.343,16.537,139.1,55.558,0,7.5,8500.757,8508.257,102125.708,1.082,11,1210,867.2,413.643,346.439,558.291,1074.723,254.374,1329.097,3.58,8430.659,6.936,8437.595,101302.929,200,322.453,384.346,20.548,13.749,2.395,4.285,7333.231,350,0.969,4983.1,18.3,1993.2,0,0,17.014,28.534,19.945,162.8,Burdekin,AyrDPI,Kala,1956,Furrow,BareFallow,77,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15MayV1R4,T2,2077.2,1768.291,760.082,1014.456,36.692,16.144,8.36740106690584,0.111323703236107,8.91325301204819,0.7398,23.381
1960,13/11/1960,318,1959,15-May,1,sugar,alive,3,396,1956,14/10/1959,135,0,0,348,1960,21,2039,6742.11,5922.05,5299.63,162.02,2653.86,14424.7,15998.478,6399.392,96.404,17.247,140.8,43.579,0,6.936,8430.659,8437.595,101302.929,1.071,11,1210,1117,452.575,519.332,572.902,1079.832,266.945,1346.776,8.346,8352.341,7.67,8360.01,100336.104,200,320.732,393.085,26.796,15.796,3.005,5.4,7520.079,350,0.959,4559.3,16.8,1823.7,0,0,18.319,28.776,20.444,210.1,Burdekin,AyrDPI,Kala,1956,Furrow,BareFallow,77,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15MayV1R4,T2,2327,1782.902,971.907,1238.852,45.597,18.801,9.08743161430073,0.120302114085787,9.76024096385542,0.8101,26.539
1961,13/12/1961,347,1960,15-May,1,sugar,alive,4,395,1956,13/11/1960,135,0,0,348,1961,21,2039,6982.69,6106.95,5463.11,167.659,3125.68,15195.8,16136.402,6454.562,92.79,20.031,134.9,51.895,0,7.67,8352.341,8360.01,100336.104,1.06,16,1760,562.3,398.118,317.31,345.192,1306.06,283.958,1590.017,2.377,8267.773,6.091,8273.863,99260.532,200,309.769,399.375,34.945,29.032,1.571,6.925,7776.519,350,0.923,3671.8,13.5,1468.7,0,0,17.069,29.303,21.213,63.2,Burdekin,AyrDPI,Kala,1956,Furrow,BareFallow,77,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15MayV1R4,T2,2322.3,2105.192,715.428,999.386,65.548,30.603,7.96407168562297,0.105444784552618,7.58638009049774,0.838295,31.257
1962,15/05/1962,135,0,15-May,1,none,out,-1,0,1956,0.000,135,0,0,348,-1,21,2039,0,0,0,0,0,0,16037.473,6414.99,88.035,0,0,68.75,4.71,6.091,8267.773,8273.863,99260.532,1.049,0,0,808.2,347.507,135.837,408.764,0,223.684,223.684,0.352,8333.297,48.379,8381.676,100504.551,0,0,62.51,1.24,1.346,0.062,0.183,4763.208,350,0.456,869.1,4.8,347.6,0,0,20.644,30.729,20.129,102.1,Burdekin,AyrDPI,Kala,1956,Furrow,BareFallow,77,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15MayV1R4,T2,808.2,408.764,483.344,707.028,2.648,1.408,0,0,0,,0
1963,15/08/1963,227,1962,15-May,2,sugar,alive,0,457,1962,15/5/1962,135,0,0,348,1963,21,2039,7171.91,6270.91,5693.31,172.931,2893.78,14785.9,0,0,0,17.682,221.7,169.921,169.921,48.379,8333.297,8381.676,100504.551,1.046,14,1540,1207.6,728.791,449.722,681.105,1319.584,311.968,1631.552,3.921,8109.384,6.047,8115.431,97210.615,200,436.186,483.133,28.739,40.823,6.651,5.985,7258.439,350,0.979,5503.9,20.2,2201.5,0,0,16.691,28.627,18.422,91.9,Burdekin,AyrDPI,Kala,1956,Furrow,BareFallow,77,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15MayV1R4,T2,2747.6,2221.105,1178.513,1490.481,76.213,47.474,7.78580931563344,0.105991718314832,8.69,0.864655,28.938
1964,14/09/1964,258,1963,15-May,2,sugar,alive,1,396,1962,15/8/1963,135,0,0,348,1964,21,2039,6600.28,5757.54,5132.04,155.496,2499.65,14682.3,17246.308,6898.526,98.898,16.873,144.1,107.457,43.417,6.047,8109.384,8115.431,97210.615,1.029,14,1540,554.3,270.462,356.013,449.681,1263.798,253.876,1517.674,1.937,8036.603,4.722,8041.325,96511.034,200,321.113,379.751,15.687,16.746,6.707,3.429,7174.792,350,0.958,4545.1,16.7,1818,0,0,17.311,29.447,19.772,92.7,Burdekin,AyrDPI,Kala,1956,Furrow,BareFallow,77,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15MayV1R4,T2,2094.3,1989.681,626.475,880.351,39.14,23.453,7.81512212259151,0.102456785844654,7.81386934673367,0.77748,24.997
1965,14/10/1965,287,1964,15-May,2,sugar,alive,2,395,1962,14/9/1964,135,0,0,348,1965,21,2039,6471.58,5726.36,5063.41,155.342,2597.54,14081.7,16343.316,6537.327,89.999,17.667,140.4,57.608,0,4.722,8036.603,8041.325,96511.034,1.022,14,1540,829.9,491.46,411.443,428.117,1186.397,285.994,1472.391,4.168,7966.785,5.024,7971.809,95796.301,200,317.572,376.309,23.878,10.709,1.867,4.894,7112.93,350,0.948,4213.4,15.5,1685.3,0,0,17.479,29.124,19.962,107.4,Burdekin,AyrDPI,Kala,1956,Furrow,BareFallow,77,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15MayV1R4,T2,2369.9,1968.117,902.903,1188.897,36.454,12.576,7.89292506492246,0.105503225705672,7.80613065326633,0.77671,25.975
