year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigFreq,MillMudAmt,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH,IrrigAlloc
1956,14/04/1956,105,0,15-Apr,0,none,out,-1,0,-1,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.89,0,0,908.8,24.993,440.807,459.959,0,277.705,277.705,20.633,9506.38,28.538,9534.918,141789.361,0,0,34.684,7.699,0.206,1.19,1.16,1029.471,350,0.007,9.9,0,4,0,0,22.406,30.649,17.187,67.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T1,908.8,459.959,465.8,743.505,9.095,1.396,0,0,0,,0,999
1957,14/07/1957,195,1956,15-Apr,1,sugar,alive,0,456,1956,14/4/1956,105,0,0,318,1957,21,2039,8048.3,7259.25,6239.04,193.649,3297.82,,0,0,0,18.047,194.845,194.845,28.538,9506.38,9534.918,141789.361,0.884,19,2660,1202.9,239.747,1986.552,681.023,1337.321,413.992,1751.313,41.951,9422.358,0.81,9423.168,141407.982,200,284.514,323.914,43.13,0.642,20.068,8.987,3467.395,350,0.974,5203.7,19.1,2081.5,0,0,16.955,27.951,18.212,77.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T1,3862.9,3341.023,2226.299,2640.291,63.84,20.71,5.79609897926473,0.11057360962889,6.22665594855306,0.968245,32.978,999
1958,14/08/1958,226,1957,15-Apr,1,sugar,alive,1,396,1956,14/7/1957,105,0,0,318,1958,21,2039,5085.54,4490.27,3972.02,121.435,2257.98,,0,0,0,19.971,80.134,80.134,0.81,9422.358,9423.168,141407.982,0.868,18,2520,1020.9,488.953,2051.642,452.772,994.716,4.72,999.436,0,9502.034,1.122,9503.155,142985.476,200,205.821,306.132,21.634,0.001,3.307,4.582,8004.585,350,1,14604.2,61.3,5841.7,0,0,17.772,29.136,19.572,136.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T1,3540.9,2972.772,2540.595,2545.315,24.942,3.308,4.08490795795978,0.121503527989786,4.08872053872054,0.607175,22.58,999
1959,14/09/1959,257,1958,15-Apr,1,sugar,alive,2,396,1956,14/8/1958,105,0,0,318,1959,21,2039,6234.7,5600.05,4865.66,150.068,2846.85,,0,0,0,20.434,81.003,81.003,1.122,9502.034,9503.155,142985.476,0.881,19,2660,875.3,492.6,1924.905,487.197,1110.862,4.575,1115.437,0.001,9582.794,1.183,9583.976,144734.679,200,213.032,343.882,30.05,0.001,6.033,6.251,9803.701,350,1,12976.4,50.7,5190.6,0,0,16.929,28.362,19.643,162.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T1,3535.3,3147.197,2417.505,2422.08,36.084,6.034,4.76830652799936,0.134537405519093,4.82533762057878,0.75034,28.468,999
1960,13/10/1960,287,1959,15-Apr,1,sugar,alive,3,395,1956,14/9/1959,105,0,0,318,1960,21,2039,6425.7,5752.26,5058.56,156.027,3051.42,,0,0,0,21.155,83.36,83.36,1.183,9582.794,9583.976,144734.679,0.896,20,2800,1112.7,505.678,2329.991,505.097,1080.959,10.322,1091.281,0.005,9665.577,1.521,9667.097,146697.496,200,233.597,381.447,25.804,0.001,7.203,5.357,11687.156,350,0.999,9507.7,36.7,3803.1,0,0,17.803,28.647,20.438,210.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T1,3912.7,3305.097,2835.669,2845.991,33.008,7.204,4.72079941980523,0.142976007096247,4.80083076923077,0.780135,30.514,999
1961,13/11/1961,317,1960,15-Apr,1,sugar,alive,4,396,1956,13/10/1960,105,0,0,318,1961,21,2039,7215.98,6496.5,5685.42,176.857,3619.65,,0,0,0,22.274,69.109,69.109,1.521,9665.577,9667.097,146697.496,0.914,22,3080,499,338.842,1785.737,305.054,1361.458,84.027,1445.486,0.541,9711.399,2.265,9713.665,148423.233,200,278.511,436.328,32.624,0.001,5.408,6.628,13043.911,350,0.905,3368.3,12.6,1347.3,0,0,16.991,29.222,21.178,63.2,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T1,3579,3385.054,2124.579,2208.606,38.033,5.409,5.22464338825909,0.122351236885034,5.01011331444759,0.884285,36.196,999
1962,18/04/1962,108,0,15-Apr,1,none,out,-1,0,1956,0.000,108,3,0,321,-1,19,2039,0,0,0,0,0,,0,0,0,0,78.044,78.044,2.265,9711.399,9713.665,148423.233,0.927,0,0,875.8,431.364,307.744,306.484,0,24.749,24.749,0.001,9846.045,9.217,9855.262,151603.791,0,0,82.562,2.569,0.006,0.339,0.28,6897.45,350,0.991,6805.1,29.5,2722,0,0,21.84,31.406,21.266,102.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T1,875.8,306.484,739.108,763.857,2.914,0.345,0,0,0,,0,999
1963,18/07/1963,199,1962,15-Apr,2,sugar,alive,0,456,1962,18/4/1962,108,3,0,321,1963,18,2039,7807.22,6981.46,6090.14,187.964,3447.68,,0,0,0,19.661,189.987,189.987,9.217,9846.045,9855.262,151603.791,0.94,20,2800,1147.9,407.408,1968.164,653.355,1383.565,298.655,1682.22,4.975,9610.173,1.728,9611.901,148973.687,200,429.858,515.282,67.887,0.004,19.874,13.237,9344.37,350,0.892,3179.1,11.7,1271.7,0,0,16.886,28.825,18.603,91.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T1,3947.9,3453.355,2375.572,2674.227,87.765,19.878,5.44293882326028,0.111735682609885,5.78350769230769,0.93982,34.477,999
1964,17/08/1964,230,1963,15-Apr,2,sugar,alive,1,396,1962,18/7/1963,108,3,0,321,1964,18,2039,6385.45,5685.76,4965.75,152.681,2692.66,,0,0,0,18.792,80.094,80.094,1.728,9610.173,9611.901,148973.687,0.912,19,2660,612.7,280.721,1698.971,446.047,1233.635,75.409,1309.043,0.622,9691.767,1.317,9693.085,150579.837,200,249.11,397.629,40.262,0.002,3.431,8.211,11850.659,350,0.896,3230.4,12.7,1292.2,0,0,17.211,29.195,19.518,92.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T1,3272.7,3106.047,1979.692,2055.101,43.695,3.433,4.91560494738167,0.116635587982977,4.90935691318328,0.763405,26.927,999
1965,17/09/1965,260,1964,15-Apr,2,sugar,alive,2,396,1962,17/8/1964,108,3,0,321,1965,18,2039,6986.29,6328.29,5399.27,167.641,3188.07,,0,0,0,20.491,64.058,64.058,1.317,9691.767,9693.085,150579.837,0.932,20,2800,831.2,338.909,1855.45,437.455,1275.496,153.428,1428.924,2.52,9685.306,1.136,9686.442,151649.711,200,308.275,446.668,33.97,0.002,7.452,6.935,11491.316,350,0.887,3109.7,11.5,1243.9,0,0,17.324,29.164,19.712,107.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T1,3631.2,3237.455,2194.359,2347.787,41.424,7.454,5.17817236069691,0.117319745486814,5.15818461538462,0.838205,31.881,999
