year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigFreq,MillMudAmt,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH,IrrigAlloc
1956,14/04/1956,105,0,15-Apr,0,none,out,-1,0,-1,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.89,0,0,908.8,24.993,440.807,459.959,0,277.705,277.705,20.633,9506.38,28.538,9534.918,141789.361,0,0,34.684,7.699,0.206,1.19,1.16,1029.471,350,0.007,9.9,0,4,0,0,22.406,30.649,17.187,67.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,908.8,459.959,465.8,743.505,9.095,1.396,0,0,0,,0,999
1957,14/07/1957,195,1956,15-Apr,1,sugar,alive,0,456,1956,14/4/1956,105,0,0,318,1957,21,2039,7888.18,7113.95,6103.02,189.353,3250.13,,0,0,0,18.212,194.845,194.845,28.538,9506.38,9534.918,141789.361,0.884,19,2090,1202.9,191.161,1502.958,693.173,1300.735,415.929,1716.664,32.317,9421.683,0.821,9422.504,141373.354,200,292.02,324.843,39.7,0.583,16.305,8.381,3470.531,350,0.972,5097.9,18.7,2039.2,0,0,16.955,27.951,18.212,77.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3292.9,2783.173,1694.119,2110.048,56.588,16.888,6.80349371023648,0.110302889790897,7.45484251968504,0.946765,32.501,999
1958,14/08/1958,226,1957,15-Apr,1,sugar,alive,1,396,1956,14/7/1957,105,0,0,318,1958,21,2039,5188.21,4581.96,4049.26,123.829,2304.55,,0,0,0,19.991,76.962,76.962,0.821,9421.683,9422.504,141373.354,0.868,18,1980,1020.9,416.667,1566.716,473.475,1008.508,6.509,1015.017,0.001,9509.834,1.095,9510.929,143020.361,200,206.743,311.264,20.499,0.001,2.443,4.42,8330.363,350,1,13268.4,57.1,5307.4,0,0,17.772,29.136,19.572,136.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3000.9,2453.475,1983.383,1989.892,22.943,2.444,5.04708627558871,0.121996971479295,5.09584362139918,0.619145,23.046,999
1959,14/09/1959,257,1958,15-Apr,1,sugar,alive,2,396,1956,14/8/1958,105,0,0,318,1959,21,2039,6294.87,5652.69,4908.46,151.371,2874.95,,0,0,0,20.461,79.462,79.462,1.095,9509.834,9510.929,143020.361,0.883,19,2090,875.3,417.017,1423.5,504.058,1116.775,8.222,1124.997,0.002,9596.564,1.116,9597.681,144854.233,200,216.525,350.235,27.681,0.001,4.509,5.874,10181.739,350,0.999,10845.1,42.5,4338,0,0,16.929,28.362,19.643,162.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,2965.3,2594.058,1840.517,1848.739,32.191,4.51,5.83529743745128,0.13455235880629,5.95948818897638,0.756855,28.749,999
1960,13/10/1960,287,1959,15-Apr,1,sugar,alive,3,395,1956,14/9/1959,105,0,0,318,1960,21,2039,6466.93,5789.28,5091.78,157.051,3061.05,,0,0,0,21.074,79.248,79.248,1.116,9596.564,9597.681,144854.233,0.9,20,2200,1112.7,433.433,1780.552,518.782,1085.068,26.025,1111.093,0.032,9684.905,1.341,9686.246,146897.592,200,236.783,387.763,23.999,0.001,5.474,5.067,12057.521,350,0.99,6553.5,25.1,2621.4,0,0,17.803,28.647,20.438,210.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3312.7,2718.782,2213.985,2240.01,29.474,5.475,5.77652051543669,0.141348203975725,5.92645283018868,0.785255,30.611,999
1961,13/11/1961,317,1960,15-Apr,1,sugar,alive,4,396,1956,13/10/1960,105,0,0,318,1961,21,2039,7299.95,6579.27,5716.66,177.857,3634.63,,0,0,0,22.236,66.87,66.87,1.341,9684.905,9686.246,146897.592,0.919,22,2420,499,220.001,1214.229,316.663,1350.739,130.174,1480.913,0.923,9686.049,1.966,9688.015,148225.756,200,317.66,462.259,30.544,0.001,4.247,6.262,12457.616,350,0.883,3060.1,11.3,1224,0,0,16.991,29.222,21.178,63.2,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,2919,2736.663,1434.23,1564.404,34.792,4.248,6.49904646644472,0.120099560203739,6.19710801393728,0.889285,36.346,999
1962,19/04/1962,109,0,15-Apr,1,none,out,-1,0,1956,0.000,109,4,0,322,-1,18,2039,0,0,0,0,0,,0,0,0,0,70.727,70.727,1.966,9686.049,9688.015,148225.756,0.925,0,0,875.8,429.08,306.961,309.404,0,18.915,18.915,0.001,9826.316,9.503,9835.819,151382.619,0,0,76.602,2.587,0.006,0.31,0.275,6613.761,350,0.996,7926.1,36,3170.4,0,0,21.8,31.385,21.265,102.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,875.8,309.404,736.041,754.956,2.903,0.316,0,0,0,,0,999
1963,19/07/1963,200,1962,15-Apr,2,sugar,alive,0,456,1962,19/4/1962,109,4,0,322,1963,17,2039,7648.26,6828.35,5957.17,183.629,3409.7,,0,0,0,19.939,191.572,191.572,9.503,9826.316,9835.819,151382.619,0.937,20,2200,1147.9,324.909,1502.795,694.995,1345.671,292.92,1638.592,4.073,9608.32,1.719,9610.039,148965.713,200,433.214,509.57,58.667,0.003,14.142,11.493,9536.391,350,0.892,3180.3,11.7,1272.1,0,0,16.868,28.814,18.597,91.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,3347.9,2894.995,1827.704,2120.624,72.812,14.145,6.34298159409602,0.112065114439714,6.92939622641509,0.918145,34.097,999
1964,18/08/1964,231,1963,15-Apr,2,sugar,alive,1,396,1962,19/7/1963,109,4,0,322,1964,17,2039,6423.82,5711.75,4988.61,153.261,2718.54,,0,0,0,18.918,73.176,73.176,1.719,9608.32,9610.039,148965.713,0.913,19,2090,612.7,193.413,1200.01,456.995,1227.871,95.186,1323.057,0.742,9683.109,1.264,9684.373,150551.635,200,261.23,405.172,37.411,0.001,2.668,7.766,11832.103,350,0.879,3017,11.6,1206.8,0,0,17.211,29.203,19.527,92.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,2702.7,2546.995,1393.423,1488.609,40.08,2.669,6.01732630020868,0.11583854663858,6.03389763779528,0.766305,27.185,999
1965,18/09/1965,261,1964,15-Apr,2,sugar,alive,2,396,1962,18/8/1964,109,4,0,322,1965,17,2039,6899.9,6238.65,5311.94,164.751,3110.35,,0,0,0,20.321,59.396,59.396,1.264,9683.109,9684.373,150551.635,0.932,19,2090,831.2,191.827,1311.885,458.148,1244.421,165.501,1409.922,2.135,9676.935,1.108,9678.043,151665.492,200,314.192,452.506,30.362,0.001,5.831,6.34,11374.189,350,0.887,3113.6,11.5,1245.5,0,0,17.334,29.177,19.72,107.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T1,2921.2,2548.148,1503.712,1669.213,36.194,5.832,6.46551927125112,0.116851144956955,6.48625984251969,0.823755,31.104,999
