year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigFreq,MillMudAmt,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH,IrrigAlloc
1956,14/04/1956,105,0,15-Apr,0,none,out,-1,0,-1,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.89,0,0,908.8,24.993,440.807,459.959,0,277.705,277.705,20.633,9506.38,28.538,9534.918,141789.361,0,0,34.684,7.699,0.206,1.19,1.16,1029.471,350,0.007,9.9,0,4,0,0,22.406,30.649,17.187,67.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T2,908.8,459.959,465.8,743.505,9.095,1.396,0,0,0,,0,999
1957,14/07/1957,195,1956,15-Apr,1,sugar,alive,0,456,1956,14/4/1956,105,0,0,318,1957,21,2039,8048.3,7259.25,6239.04,193.649,3297.82,,0,0,0,18.047,194.845,194.845,28.538,9506.38,9534.918,141789.361,0.884,19,2660,1202.9,239.747,1986.552,681.023,1337.321,413.992,1751.313,41.951,9422.358,0.81,9423.168,141407.982,200,284.514,323.914,43.13,0.642,20.068,8.987,3467.395,350,0.974,5203.7,19.1,2081.5,0,0,16.955,27.951,18.212,77.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T2,3862.9,3341.023,2226.299,2640.291,63.84,20.71,5.79609897926473,0.11057360962889,6.22665594855306,0.968245,32.978,999
1958,14/08/1958,226,1957,15-Apr,1,sugar,alive,1,396,1956,14/7/1957,105,0,0,318,1958,21,2039,6065.61,5361.39,4675.68,142.871,2573.84,,19801.835,7920.734,87.691,19.259,80.134,80.134,0.81,9422.358,9423.168,141407.982,0.868,18,2520,1020.9,342.378,1812.338,490.359,1123.124,278.696,1401.821,4.086,9434.745,0.919,9435.664,142439.404,200,230.205,288.959,25.54,0.001,6.778,5.206,5399.251,350,0.943,4098.2,15.1,1639.3,0,0,17.772,29.136,19.572,136.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T2,3540.9,3010.359,2154.716,2433.412,32.319,6.779,4.74597880186383,0.101918147894774,4.81047138047138,0.714355,25.738,999
1959,14/09/1959,257,1958,15-Apr,1,sugar,alive,2,396,1956,14/8/1958,105,0,0,318,1959,21,2039,7133.87,6399.77,5498.83,169.44,3068.98,,15297.807,6119.123,60.983,19.378,64.497,64.497,0.919,9434.745,9435.664,142439.404,0.865,19,2660,875.3,289.558,1751.908,480.492,1218.793,266.879,1485.672,5.893,9427.577,0.958,9428.535,143466.467,200,246.289,302.57,28.229,0.001,11.516,5.707,5515.745,350,0.954,4385.1,16.1,1754,0,0,16.929,28.362,19.643,162.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T2,3535.3,3140.492,2041.466,2308.345,39.746,11.517,5.39533296056796,0.114049399867535,5.44823151125402,0.8472,30.69,999
1960,13/10/1960,287,1959,15-Apr,1,sugar,alive,3,395,1956,14/9/1959,105,0,0,318,1960,21,2039,7242.77,6492.43,5660.8,174.659,3283.19,,17625.167,7050.068,75.18,20.221,72.659,72.659,0.958,9427.577,9428.535,143466.467,0.858,20,2800,1112.7,320.705,2157.434,504.238,1182.908,262.41,1445.319,9.847,9417.89,1.329,9419.219,144568.301,200,250.57,315.978,32.727,0.001,12.018,6.467,5989.896,350,0.955,4437.8,16.3,1775.1,0,0,17.803,28.647,20.438,210.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T2,3912.7,3304.238,2478.139,2740.549,44.746,12.019,5.28590858164575,0.120844602471842,5.37412307692308,0.873295,32.832,999
1961,13/11/1961,317,1960,15-Apr,1,sugar,alive,4,396,1956,13/10/1960,105,0,0,318,1961,21,2039,7471.71,6717.28,5810.44,180.303,3622.57,,17218.919,6887.568,73.793,21.813,61.901,61.901,1.329,9417.89,9419.219,144568.301,0.85,22,3080,499,202.811,1694.766,296.793,1371.823,292.187,1664.01,6.956,9392.919,2.026,9394.945,145460.899,200,263.343,329.316,36.838,0.001,11.514,7.23,6229.303,350,0.932,3840.4,14.1,1536.2,0,0,16.991,29.222,21.178,63.2,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T2,3579,3376.793,1897.577,2189.764,48.353,11.515,5.33947446586154,0.108354517100258,5.10773371104816,0.901515,36.226,999
1962,15/04/1962,105,0,15-Apr,1,none,out,-1,0,1956,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,17385.11,6954.044,75.495,0,79.315,79.315,2.026,9392.919,9394.945,145460.899,0.842,0,0,875.8,191.981,327.224,460.502,0,269.308,269.308,1.081,9474.728,22.883,9497.611,148146.038,0,0,43.614,2.774,0.002,0.4,0.251,3967.671,350,0.393,713.4,3.1,285.4,0,0,21.944,31.478,21.317,102.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T2,875.8,460.502,519.205,788.513,3.176,0.402,0,0,0,,0,999
1963,15/07/1963,196,1962,15-Apr,2,sugar,alive,0,456,1962,15/4/1962,105,0,0,318,1963,21,2039,7371.58,6540.79,5747.24,176.528,3238.05,,0,0,0,19.662,166.602,166.602,22.883,9474.728,9497.611,148146.038,0.84,19,2660,1147.9,306.568,1948.22,660.511,1300.778,356.184,1656.962,16.842,9322.313,1.764,9324.076,146067.706,200,340.623,394.84,50.946,0.002,22.674,10.217,5595.107,350,0.968,4938.9,18.1,1975.5,0,0,16.968,28.851,18.604,91.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T2,3807.9,3320.511,2254.788,2610.972,73.622,22.676,5.31629017341006,0.106537144484907,5.67614147909968,0.88264,32.381,999
1964,14/08/1964,227,1963,15-Apr,2,sugar,alive,1,396,1962,15/7/1963,105,0,0,318,1964,21,2039,6549.08,5798.01,5042.71,154.403,2701.14,,18004.901,7201.961,92.602,18.618,62.753,62.753,1.764,9322.313,9324.076,146067.706,0.824,19,2660,612.7,126.092,1623.205,453.454,1223.628,299.675,1523.303,6.867,9303.33,1.284,9304.614,146534.784,200,254.405,319.024,35.949,0.001,8.336,7.229,5901.346,350,0.93,3805.2,14,1522.1,0,0,17.172,29.171,19.499,92.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T2,3272.7,3113.454,1749.297,2048.972,44.286,8.337,4.95921892534786,0.101360661667442,4.96472668810289,0.772015,27.011,999
1965,14/09/1965,257,1964,15-Apr,2,sugar,alive,2,396,1962,14/8/1964,105,0,0,318,1965,21,2039,7034.81,6353.79,5375.61,166.393,3053.11,,16038.564,6415.425,68.001,19.669,62.853,62.853,1.284,9303.33,9304.614,146534.784,0.82,20,2800,831.2,256.655,1799.277,435.544,1268.186,292.837,1561.023,7.307,9280.598,1.063,9281.662,147304.146,200,253.256,320.946,37.019,0.001,12.241,7.417,5755.981,350,0.934,3885.3,14.3,1554.1,0,0,17.287,29.163,19.689,107.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T2,3631.2,3235.544,2055.932,2348.769,49.261,12.242,5.14265916334317,0.106592279550013,5.11978461538462,0.831965,30.531,999
