year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigFreq,MillMudAmt,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH,IrrigAlloc
1956,14/04/1956,105,0,15-Apr,0,none,out,-1,0,-1,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.89,0,0,908.8,24.993,440.807,459.959,0,277.705,277.705,20.633,9506.38,28.538,9534.918,141789.361,0,0,34.684,7.699,0.206,1.19,1.16,1029.471,350,0.007,9.9,0,4,0,0,22.406,30.649,17.187,67.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T2,908.8,459.959,465.8,743.505,9.095,1.396,0,0,0,,0,999
1957,14/07/1957,195,1956,15-Apr,1,sugar,alive,0,456,1956,14/4/1956,105,0,0,318,1957,21,2039,7888.18,7113.95,6103.02,189.353,3250.13,,0,0,0,18.212,194.845,194.845,28.538,9506.38,9534.918,141789.361,0.884,19,2090,1202.9,191.161,1502.958,693.173,1300.735,415.929,1716.664,32.317,9421.683,0.821,9422.504,141373.354,200,292.02,324.843,39.7,0.583,16.305,8.381,3470.531,350,0.972,5097.9,18.7,2039.2,0,0,16.955,27.951,18.212,77.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T2,3292.9,2783.173,1694.119,2110.048,56.588,16.888,6.80349371023648,0.110302889790897,7.45484251968504,0.946765,32.501,999
1958,14/08/1958,226,1957,15-Apr,1,sugar,alive,1,396,1956,14/7/1957,105,0,0,318,1958,21,2039,6179.96,5462.48,4734.85,144.585,2578.35,,19507.046,7802.818,90.024,19.034,76.962,76.962,0.821,9421.683,9422.504,141373.354,0.868,18,1980,1020.9,237.581,1374.1,502.862,1121.614,281.996,1403.61,3.69,9432.693,0.901,9433.594,142378.487,200,235.824,290.959,23.49,0.001,5.398,4.907,5406.886,350,0.944,4113.8,15.2,1645.5,0,0,17.772,29.136,19.572,136.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T2,3000.9,2482.862,1611.681,1893.677,28.889,5.399,5.82332002342458,0.103009382948255,5.95,0.722925,25.784,999
1959,14/09/1959,257,1958,15-Apr,1,sugar,alive,2,396,1956,14/8/1958,105,0,0,318,1959,21,2039,7111.94,6370.09,5458.01,167.967,3012.62,,15780.116,6312.047,64.382,19.161,62.572,62.572,0.901,9432.693,9433.594,142378.487,0.865,19,2090,875.3,195.517,1289.717,497.798,1206.607,266.895,1473.502,4.917,9425.7,0.949,9426.649,143418.561,200,252.516,304.15,25.708,0,8.591,5.338,5573.979,350,0.953,4375.2,16.1,1750.1,0,0,16.929,28.362,19.643,162.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T2,2965.3,2587.798,1485.234,1752.129,34.299,8.591,6.49073072936914,0.113991701402509,6.61287401574803,0.839835,30.126,999
1960,13/10/1960,287,1959,15-Apr,1,sugar,alive,3,395,1956,14/9/1959,105,0,0,318,1960,21,2039,7323,6563.26,5713.03,176.226,3275.6,,17777.322,7110.928,77.175,19.963,69.136,69.136,0.949,9425.7,9426.649,143418.561,0.858,20,2200,1112.7,220.581,1650.587,517.884,1188.355,262.043,1450.398,9.063,9415.197,1.255,9416.452,144522.79,200,256.395,318.124,31.444,0,9.289,6.343,6027.77,350,0.957,4492.3,16.5,1796.9,0,0,17.803,28.647,20.438,210.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T2,3312.7,2717.884,1871.168,2133.211,40.733,9.289,6.48394118365611,0.121501822258442,6.65003773584906,0.88113,32.756,999
1961,13/11/1961,317,1960,15-Apr,1,sugar,alive,4,396,1956,13/10/1960,105,0,0,318,1961,21,2039,7363.85,6614.57,5705.36,176.859,3550.9,,17503.224,7001.289,76.397,21.795,60.271,60.271,1.255,9415.197,9416.452,144522.79,0.851,22,2420,499,101.481,1172.903,312.242,1338.591,292.826,1631.417,5.291,9388.971,2.02,9390.991,145385.574,200,269.651,332.059,35.324,0,8.671,7.086,6298.185,350,0.931,3819.1,14,1527.7,0,0,16.991,29.222,21.178,63.2,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T2,2919,2732.242,1274.384,1567.21,43.995,8.671,6.47303569742358,0.108408212002204,6.16233449477352,0.884295,35.509,999
1962,15/04/1962,105,0,15-Apr,1,none,out,-1,0,1956,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,17343.366,6937.346,76.604,0,73.471,73.471,2.02,9388.971,9390.991,145385.574,0.842,0,0,875.8,184.757,327.939,465.248,0,270.077,270.077,1.123,9472.06,23.53,9495.59,148078.917,0,0,44.551,2.881,0.002,0.427,0.261,3929.319,350,0.383,688.7,3,275.5,0,0,21.944,31.478,21.317,102.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T2,875.8,465.248,512.696,782.773,3.31,0.429,0,0,0,,0,999
1963,15/07/1963,196,1962,15-Apr,2,sugar,alive,0,456,1962,15/4/1962,105,0,0,318,1963,21,2039,7177.55,6364.83,5584.05,171.387,3163.13,,0,0,0,19.801,166.499,166.499,23.53,9472.06,9495.59,148078.917,0.841,19,2090,1147.9,248.645,1478.762,666.727,1256.321,359.519,1615.84,12.304,9317.478,1.75,9319.228,145988.978,200,353.642,397.956,45.994,0.002,17.011,9.423,5570.848,350,0.965,4773.2,17.5,1909.3,0,0,16.968,28.851,18.604,91.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T2,3237.9,2756.727,1727.407,2086.926,63.007,17.013,6.21704651929625,0.106066813545896,6.74751968503937,0.856935,31.631,999
1964,14/08/1964,227,1963,15-Apr,2,sugar,alive,1,396,1962,15/7/1963,105,0,0,318,1964,21,2039,6490.36,5721.3,4968.48,151.625,2636.68,,17601.958,7040.782,91.47,18.489,61.152,61.152,1.75,9317.478,9319.228,145988.978,0.825,19,2090,612.7,43.024,1159.018,463.078,1201.054,298.846,1499.901,5.302,9296.588,1.251,9297.839,146469.331,200,259.602,320.948,34.001,0,6.995,6.963,5803.522,350,0.935,3912.6,14.4,1565.1,0,0,17.172,29.171,19.499,92.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T2,2702.7,2553.078,1202.042,1500.888,40.996,6.995,5.93890981787474,0.101090005273681,5.96948818897638,0.758125,26.367,999
1965,14/09/1965,257,1964,15-Apr,2,sugar,alive,2,396,1962,14/8/1964,105,0,0,318,1965,21,2039,6945.28,6265.72,5292.33,163.67,2988.91,,16261.672,6504.669,72.335,19.562,61.909,61.909,1.251,9296.588,9297.839,146469.331,0.821,20,2200,831.2,159.971,1319.473,448.68,1244.056,295.741,1539.797,6.068,9273.081,1.053,9274.135,147261.803,200,259.324,322.994,35.038,0.001,9.369,7.149,5708.348,350,0.931,3824,14,1529.6,0,0,17.287,29.163,19.689,107.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T2,3031.2,2648.68,1479.444,1775.185,44.408,9.37,6.17930440823354,0.106293232159824,6.17622641509434,0.81835,29.889,999
