year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigFreq,MillMudAmt,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH,IrrigAlloc
1956,14/04/1956,105,0,15-Apr,0,none,out,-1,0,-1,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.89,0,0,908.8,24.993,440.807,459.959,0,277.705,277.705,20.633,9506.471,28.495,9534.966,141792.379,0,0,34.65,7.699,0.206,1.19,1.16,1030.221,350,0,0.5,0,0.2,0,0,22.406,30.649,17.187,67.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,908.8,459.959,465.8,743.505,9.095,1.396,0,0,0,,0,999
1957,14/07/1957,195,1956,15-Apr,1,sugar,alive,0,456,1956,14/4/1956,105,0,0,318,1957,21,2039,7886.45,7074.52,6295.93,195.301,3446.87,,0,0,0,18.808,194.845,194.845,28.495,9506.471,9534.966,141792.379,0.884,39,7800,1202.9,580.603,6665.152,604.56,1398.353,460.805,1859.158,136.424,9427.529,0.789,9428.318,141584.507,200,232.029,305.902,58.867,1.114,51.923,11.804,3339.23,350,0.976,5305.3,19.4,2122.1,0,0,16.955,27.951,18.212,77.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,9002.9,8404.56,7245.755,7706.56,111.904,53.037,2.3237504402372,0.105048091663,2.36728484848485,0.976505,34.469,999
1958,14/08/1958,226,1957,15-Apr,1,sugar,alive,1,396,1956,14/7/1957,105,0,0,318,1958,21,2039,5833.74,5163.91,4571.13,140.12,2508.42,,18028.893,7211.556,69.562,19.119,92.831,92.831,0.789,9427.529,9428.318,141584.507,0.868,36,7200,1020.9,656.553,6076.38,385.445,1132.447,373.386,1505.833,85.496,9433.48,0.97,9434.449,142565.687,200,224.174,283.825,25.967,0.001,12.566,5.1,5205.069,350,0.928,3749.6,13.7,1499.8,0,0,17.772,29.136,19.572,136.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8220.9,7585.445,6732.933,7106.319,38.534,12.567,1.84722188348871,0.0930514871170973,1.8316339869281,0.7006,25.084,999
1959,14/09/1959,257,1958,15-Apr,1,sugar,alive,2,396,1956,14/8/1958,105,0,0,318,1959,21,2039,6276.25,5631.5,4921.92,151.799,2841.33,,13919.38,5567.753,53.63,20.123,74.965,74.965,0.97,9433.48,9434.449,142565.687,0.862,38,7600,875.3,1027.86,5934.198,382.248,1149.054,347.83,1496.884,47.268,9432.049,1.129,9433.178,143236.192,200,208.785,296.678,44.985,0.145,21.179,8.489,5464.021,350,0.933,3856.8,14.1,1542.7,0,0,16.929,28.362,19.643,162.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8475.3,7982.248,6962.058,7309.888,66.309,21.324,1.90170738869552,0.101409995697729,1.88570186335404,0.758995,28.413,999
1960,13/10/1960,287,1959,15-Apr,1,sugar,alive,3,395,1956,14/9/1959,105,0,0,318,1960,21,2039,6951.73,6227.98,5455.99,168.432,3234.12,,14790.127,5916.051,58.415,20.718,91.323,91.323,1.129,9432.049,9433.178,143236.192,0.854,39,7800,1112.7,860.885,6580.835,403.734,1168.231,324.389,1492.62,53.892,9418.616,1.528,9420.144,143840.245,200,225.844,308.471,43.104,0.07,21.301,8.09,5807.665,350,0.951,4296.9,15.7,1718.7,0,0,17.803,28.647,20.438,210.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8912.7,8203.734,7441.72,7766.109,64.475,21.371,2.05311386254113,0.112843188487358,2.0416,0.84216,32.341,999
1961,13/11/1961,317,1960,15-Apr,1,sugar,alive,4,396,1956,13/10/1960,105,0,0,318,1961,21,2039,7318.87,6564.74,5796.23,180.031,3647.69,,16366.203,6546.481,67.198,22.022,69.684,69.684,1.528,9418.616,9420.144,143840.245,0.846,41,8200,499,690.95,6247.67,226.314,1415.438,341.34,1756.778,51.94,9400.565,1.832,9402.397,144206.49,200,235.195,318.314,44.12,0.082,20.098,8.219,6378.882,350,0.934,3881.8,14.2,1552.7,0,0,16.991,29.222,21.178,63.2,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8699,8426.314,6938.62,7279.96,64.3,20.18,2.13653324573473,0.102477945420537,2.08128323699422,0.900155,36.477,999
1962,15/04/1962,105,0,15-Apr,1,none,out,-1,0,1956,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,16241.985,6496.794,68.671,0,73.285,73.285,1.832,9400.565,9402.397,144206.49,0.837,0,0,875.8,78.219,390.295,465.309,0,316.954,316.954,18.545,9479.241,17.45,9496.691,146563.538,0,0,23.379,1.952,0.006,1.071,0.156,4188.306,350,0,0.4,0,0.1,0,0,21.944,31.478,21.317,102.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,875.8,465.309,468.514,785.468,3.029,1.077,0,0,0,,0,999
1963,15/07/1963,196,1962,15-Apr,2,sugar,alive,0,456,1962,15/4/1962,105,0,0,318,1963,21,2039,8206.62,7319.87,6441.73,198.71,3447.21,,0,0,0,18.438,163.618,163.618,17.45,9479.241,9496.691,146563.538,0.837,38,7600,1147.9,511.366,6421.396,501.57,1506.928,401.794,1908.721,133.124,9324.213,1.786,9325.999,143557.681,200,299.636,385.689,52.08,0.017,57.585,10.251,6280.891,350,0.982,5702.9,20.9,2281.2,0,0,16.968,28.851,18.604,91.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8747.9,8101.57,6932.762,7334.556,109.682,57.602,2.45273446998545,0.104106362323252,2.46844720496894,0.99355,34.472,999
1964,14/08/1964,227,1963,15-Apr,2,sugar,alive,1,396,1962,15/7/1963,105,0,0,318,1964,21,2039,6262.68,5589,4886.39,150.477,2627.69,,19849.018,7939.607,84.856,18.579,70.035,70.035,1.786,9324.213,9325.999,143557.681,0.818,37,7400,612.7,514.363,5878.507,383.169,1237.376,368.62,1605.996,83.961,9311.888,1.376,9313.263,143463.518,200,241.803,308.663,34.828,0.014,12.845,6.722,6675.923,350,0.92,3602.1,13.2,1440.8,0,0,17.172,29.171,19.499,92.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8012.7,7783.169,6392.87,6761.49,47.687,12.859,1.93336416053667,0.0936969955093288,1.91690445859873,0.752385,26.277,999
1965,14/09/1965,257,1964,15-Apr,2,sugar,alive,2,396,1962,14/8/1964,105,0,0,318,1965,21,2039,6751.41,6082.59,5247.85,162.506,3153.7,,14760.271,5904.108,58.039,20.97,83.869,83.869,1.376,9311.888,9313.263,143463.518,0.815,38,7600,831.2,762.866,6024.886,398.172,1287.344,365.373,1652.717,53.403,9290.202,1.307,9291.509,143058.273,200,220.349,318.399,55.985,0.083,21.882,10.452,6700.046,350,0.935,3910.6,14.3,1564.2,0,0,17.287,29.163,19.689,107.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8431.2,7998.172,6787.752,7153.125,77.95,21.965,2.03178926384679,0.0983265737570316,2.01870807453416,0.81253,31.537,999
1966,14/10/1966,287,1965,15-Apr,2,sugar,alive,3,395,1962,14/9/1965,105,0,0,318,1966,21,2039,6761.18,6003.17,5255.16,161.408,3162.59,,16104.235,6441.694,65.507,21.2,74.598,74.598,1.307,9290.202,9291.509,143058.273,0.806,42,8400,392.1,664.434,6580.557,213.228,1229.345,323.685,1553.03,52.362,9277.75,1.635,9279.385,142748.933,200,230.513,312.986,41.635,0.188,20.497,7.794,6967.534,350,0.952,4336.5,15.9,1734.6,0,0,17.785,28.871,19.833,102.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8792.1,8613.228,7244.991,7568.676,62.32,20.685,1.87395480532966,0.103931025157273,1.82381920903955,0.80704,31.626,999
1967,14/11/1967,318,1966,15-Apr,2,sugar,alive,4,396,1962,14/10/1966,105,0,0,318,1967,21,2039,6951.75,6214.95,5434.91,168.025,3230.33,,16487.17,6594.868,67.299,20.747,68.677,68.677,1.635,9277.75,9279.385,142748.933,0.799,39,7800,821.8,808.758,6219.759,330.824,1249.53,340.496,1590.025,53.174,9254.746,1.869,9256.615,142617.213,200,233.214,323.212,54.012,0.354,17.086,9.968,6850.175,350,0.935,3897.1,14.3,1558.8,0,0,18.229,28.885,20.191,154.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,8621.8,8130.824,7028.517,7369.013,71.452,17.44,2.06651871938195,0.105674439081147,2.03666666666667,0.840125,32.303,999
1968,14/04/1968,105,0,15-Apr,2,none,out,-1,0,1962,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,16205.654,6482.263,66.122,0,71.935,71.935,1.869,9254.746,9256.615,142617.213,0.793,0,0,1341.7,146.365,845.204,449.813,0,275.48,275.48,40.045,9345.738,8.72,9354.457,145133.015,0,0,12.273,0.559,0.035,0.604,0.047,3909.236,350,0,0.5,0,0.2,0,0,22.329,31.086,21.557,187.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,200,HighFreq,0,P2R,15AprV1R4,T4,1341.7,449.813,991.569,1267.049,1.198,0.639,0,0,0,,0,999
