year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigFreq,MillMudAmt,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH,IrrigAlloc
1956,14/04/1956,105,0,15-Apr,0,none,out,-1,0,-1,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.89,0,0,908.8,24.993,440.807,459.959,0,277.705,277.705,20.633,9506.471,28.495,9534.966,141792.379,0,0,34.65,7.699,0.206,1.19,1.16,1030.221,350,0,0.5,0,0.2,0,0,22.406,30.649,17.187,67.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T4,908.8,459.959,465.8,743.505,9.095,1.396,0,0,0,,0,999
1957,14/07/1957,195,1956,15-Apr,1,sugar,alive,0,456,1956,14/4/1956,105,0,0,318,1957,21,2039,8047.06,7258.16,6237.95,193.615,3298.07,,0,0,0,18.052,194.845,194.845,28.495,9506.471,9534.966,141792.379,0.884,19,2660,1202.9,242.571,1983.871,683.714,1337.036,414.134,1751.17,42.163,9422.411,0.811,9423.222,141408.932,200,284.259,323.886,43.609,0.653,19.774,9.075,3465.099,350,0.974,5203.4,19.1,2081.4,0,0,16.955,27.951,18.212,77.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T4,3862.9,3343.714,2226.442,2640.576,64.036,20.427,5.79041748187794,0.110563223444897,6.22556270096463,0.968075,32.981,999
1958,14/08/1958,226,1957,15-Apr,1,sugar,alive,1,396,1956,14/7/1957,105,0,0,318,1958,21,2039,6101.29,5398.65,4670.94,142.738,2551.23,,19800.289,7920.115,87.599,19.084,80.134,80.134,0.811,9422.411,9423.222,141408.932,0.868,18,2520,1020.9,272.709,1857.708,486.656,1102.334,326.22,1428.555,17.603,9432.637,0.908,9433.545,142476.125,200,240.165,292.368,19.447,0.001,5.682,4.044,5429.108,350,0.933,3865.6,14.2,1546.2,0,0,17.772,29.136,19.572,136.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T4,3540.9,3006.656,2130.417,2456.637,25.13,5.683,4.74740043423657,0.0999177490541141,4.80599326599327,0.71369,25.512,999
1959,14/09/1959,257,1958,15-Apr,1,sugar,alive,2,396,1956,14/8/1958,105,0,0,318,1959,21,2039,7098.92,6367.78,5462.12,168.266,3029.95,,15443.675,6177.47,63.148,19.248,62.062,62.062,0.908,9432.637,9433.545,142476.125,0.865,19,2660,875.3,399.959,1618.406,454.278,1217.499,289.089,1506.588,12.178,9427.791,0.974,9428.765,143476.746,200,247.599,304.144,27.162,0.001,9.852,5.377,5573.561,350,0.952,4324.8,15.8,1729.9,0,0,16.929,28.362,19.643,162.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T4,3535.3,3114.278,2018.365,2307.454,37.015,9.853,5.40305008094974,0.111686804886273,5.41048231511254,0.84133,30.299,999
1960,13/10/1960,287,1959,15-Apr,1,sugar,alive,3,395,1956,14/9/1959,105,0,0,318,1960,21,2039,7261.12,6509.8,5657.37,174.542,3246.86,,17588.856,7035.543,75.41,19.981,72.409,72.409,0.974,9427.791,9428.765,143476.746,0.858,20,2800,1112.7,392.766,2060.623,465.655,1181.71,288.271,1469.981,19.916,9415.117,1.42,9416.538,144527.651,200,256.026,320.031,32.121,0.002,9.98,6.118,6004.122,350,0.956,4477.2,16.4,1790.9,0,0,17.803,28.647,20.438,210.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T4,3912.7,3265.655,2453.389,2741.66,42.103,9.982,5.34477769390827,0.118737589125302,5.37052307692308,0.87271,32.469,999
1961,13/11/1961,317,1960,15-Apr,1,sugar,alive,4,396,1956,13/10/1960,105,0,0,318,1961,21,2039,7405.79,6657.48,5746.04,178.253,3588.87,,17437.467,6974.987,75.862,21.864,61.74,61.74,1.42,9415.117,9416.538,144527.651,0.85,22,3080,499,262.409,1624.663,281.196,1360.289,314.233,1674.522,13.944,9393.073,2.019,9395.091,145359.956,200,263.271,328.36,36.481,0.001,9.491,6.926,6293.381,350,0.93,3793.9,13.9,1517.6,0,0,16.991,29.222,21.178,63.2,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T4,3579,3361.196,1887.072,2201.305,45.973,9.492,5.30326110110806,0.10645007948537,5.04966005665722,0.891265,35.889,999
1962,15/04/1962,105,0,15-Apr,1,none,out,-1,0,1956,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,17332.777,6933.112,75.489,0,79.146,79.146,2.019,9393.073,9395.091,145359.956,0.842,0,0,875.8,82.201,394.385,459.26,0,314.725,314.725,18.679,9478.145,21.678,9499.823,148043.274,0,0,28.972,2.364,0.001,1.326,0.208,4140.575,350,0,0.4,0,0.1,0,0,21.944,31.478,21.317,102.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T4,875.8,459.26,476.586,791.311,3.691,1.327,0,0,0,,0,999
1963,15/07/1963,196,1962,15-Apr,2,sugar,alive,0,456,1962,15/4/1962,105,0,0,318,1963,21,2039,7258.43,6441.11,5648.45,173.456,3193.34,,0,0,0,19.744,163.636,163.636,21.678,9478.145,9499.823,148043.274,0.841,19,2660,1147.9,268.064,2001.722,659.865,1274.518,364.404,1638.922,34.866,9314.842,1.736,9316.578,145695.562,200,349.087,399.976,45.429,0.002,25.555,9.255,5501.127,350,0.969,4968.2,18.2,1987.3,0,0,16.968,28.851,18.604,91.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T4,3807.9,3319.865,2269.786,2634.19,70.986,25.557,5.22479076709445,0.105835421087764,5.57736334405145,0.86728,31.933,999
1964,14/08/1964,227,1963,15-Apr,2,sugar,alive,1,396,1962,15/7/1963,105,0,0,318,1964,21,2039,6450.08,5688.16,4926.8,150.354,2608.41,,17907.868,7163.148,92.086,18.439,62.828,62.828,1.736,9314.842,9316.578,145695.562,0.823,19,2660,612.7,65.719,1692.553,459.007,1191.137,323.128,1514.265,21.657,9294.376,1.26,9295.637,146078.092,200,264.317,319.369,25.555,0,9.847,5.313,5890.704,350,0.938,3962.1,14.5,1584.8,0,0,17.172,29.171,19.499,92.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T4,3272.7,3119.007,1758.272,2081.4,35.402,9.847,4.82057270150404,0.0992917355944964,4.83453376205788,0.75177,26.084,999
1965,14/09/1965,257,1964,15-Apr,2,sugar,alive,2,396,1962,14/8/1964,105,0,0,318,1965,21,2039,6961,6287.33,5309.33,164.319,3009.88,,16315.613,6526.245,73.242,19.63,62.991,62.991,1.26,9294.376,9295.637,146078.092,0.819,20,2800,831.2,324.729,1709.087,433.941,1252.471,330.927,1583.398,13.773,9274.236,1.082,9275.318,146738.515,200,253.284,319.277,37.07,0.002,10.19,7.175,5824.301,350,0.932,3833.7,14.1,1533.5,0,0,17.287,29.163,19.689,107.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,140,LowFreq,0,P2R,15AprV1R4,T4,3631.2,3233.941,2033.816,2364.743,47.262,10.192,5.08107599984044,0.103776182614857,5.05596923076923,0.821595,30.099,999
