year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigFreq,MillMudAmt,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH,IrrigAlloc
1956,14/04/1956,105,0,15-Apr,0,none,out,-1,0,-1,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.89,0,0,908.8,24.993,440.807,459.959,0,277.705,277.705,20.633,9506.471,28.495,9534.966,141792.379,0,0,34.65,7.699,0.206,1.19,1.16,1030.221,350,0,0.5,0,0.2,0,0,22.406,30.649,17.187,67.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T4,908.8,459.959,465.8,743.505,9.095,1.396,0,0,0,,0,999
1957,14/07/1957,195,1956,15-Apr,1,sugar,alive,0,456,1956,14/4/1956,105,0,0,318,1957,21,2039,7886.94,7112.85,6101.93,189.319,3249.89,,0,0,0,18.214,194.845,194.845,28.495,9506.471,9534.966,141792.379,0.884,19,2090,1202.9,194.053,1500.202,695.864,1300.458,416.071,1716.529,32.458,9421.742,0.821,9422.563,141374.395,200,291.736,324.806,40.198,0.595,16.012,8.472,3468.069,350,0.972,5097.6,18.7,2039,0,0,16.955,27.951,18.212,77.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T4,3292.9,2785.864,1694.255,2110.326,56.805,16.607,6.79570144127639,0.110291757377825,7.45350393700787,0.946595,32.499,999
1958,14/08/1958,226,1957,15-Apr,1,sugar,alive,1,396,1956,14/7/1957,105,0,0,318,1958,21,2039,6095.35,5375.79,4633.07,141.22,2464.06,,19505.502,7802.201,89.932,18.561,76.962,76.962,0.821,9421.742,9422.563,141374.395,0.868,18,1980,1020.9,205.507,1407.135,497.613,1079.36,324.998,1404.358,12.627,9430.459,0.897,9431.357,142407.593,200,244.71,292.933,17.689,0.001,4.573,3.764,5384.733,350,0.936,3932.4,14.4,1573,0,0,17.772,29.136,19.572,136.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T4,3000.9,2477.613,1612.642,1937.64,22.263,4.574,5.6998409356102,0.100558404623323,5.81152263374486,0.7061,24.641,999
1959,14/09/1959,257,1958,15-Apr,1,sugar,alive,2,396,1956,14/8/1958,105,0,0,318,1959,21,2039,7127.36,6388.4,5476.32,168.614,3020.65,,15771.966,6308.786,66.986,19.135,60.861,60.861,0.897,9430.459,9431.357,142407.593,0.865,19,2090,875.3,262.28,1192.046,478.437,1214.188,288.575,1502.763,10.284,9424.839,0.963,9425.802,143457.407,200,253.395,304.722,25.59,0.001,7.316,5.181,5563.911,350,0.952,4343.3,15.9,1737.3,0,0,16.929,28.362,19.643,162.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T4,2965.3,2568.437,1454.326,1742.901,32.907,7.317,6.56484858300982,0.112202656040906,6.63834645669291,0.84307,30.207,999
1960,13/10/1960,287,1959,15-Apr,1,sugar,alive,3,395,1956,14/9/1959,105,0,0,318,1960,21,2039,7308.09,6551.21,5692.72,175.607,3246.48,,17725.648,7090.26,77.019,19.839,69.072,69.072,0.963,9424.839,9425.802,143457.407,0.858,20,2200,1112.7,270.921,1578.791,492.923,1184.843,287.082,1471.925,17.668,9412.591,1.359,9413.949,144536.382,200,260.436,320.012,30.508,0.001,7.554,5.916,6014.869,350,0.958,4517,16.6,1806.8,0,0,17.803,28.647,20.438,210.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T4,3312.7,2692.923,1849.712,2136.794,38.063,7.555,6.52105537365903,0.119304312380047,6.62667924528302,0.878035,32.465,999
1961,13/11/1961,317,1960,15-Apr,1,sugar,alive,4,396,1956,13/10/1960,105,0,0,318,1961,21,2039,7307.51,6563.51,5652.33,175.153,3517.14,,17570.105,7028.042,77.306,21.799,60.135,60.135,1.359,9412.591,9413.949,144536.382,0.85,22,2420,499,147.336,1116.375,301.51,1327.964,314.115,1642.078,11.111,9388.577,2.031,9390.608,145389.291,200,269.638,330.731,34.996,0.001,7.047,6.753,6297.566,350,0.93,3800.5,13.9,1520.2,0,0,16.991,29.222,21.178,63.2,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T4,2919,2721.51,1263.711,1577.826,42.044,7.048,6.43587567196152,0.10666545681752,6.10289198606272,0.875765,35.171,999
1962,15/04/1962,105,0,15-Apr,1,none,out,-1,0,1956,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,,17299.453,6919.78,76.505,0,73.347,73.347,2.031,9388.577,9390.608,145389.291,0.842,0,0,875.8,76.557,394.113,462.263,0,314.864,314.864,18.674,9474.693,22.352,9497.046,148111.464,0,0,29.885,2.391,0.001,1.365,0.218,4060.383,350,0,0.4,0,0.1,0,0,21.944,31.478,21.317,102.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T4,875.8,462.263,470.67,785.534,3.757,1.366,0,0,0,,0,999
1963,15/07/1963,196,1962,15-Apr,2,sugar,alive,0,456,1962,15/4/1962,105,0,0,318,1963,21,2039,7059.23,6260.58,5480.98,168.185,3117.05,,0,0,0,19.896,163.613,163.613,22.352,9474.693,9497.046,148111.464,0.841,19,2090,1147.9,221.647,1521.065,665.355,1229.898,367.692,1597.59,24.796,9311.083,1.752,9312.835,145846.224,200,361.148,401.562,40.163,0.001,19.342,8.353,5394.651,350,0.965,4784.1,17.5,1913.6,0,0,16.968,28.851,18.604,91.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T4,3237.9,2755.355,1742.712,2110.404,59.506,19.343,6.10393216119157,0.105274194255097,6.62145669291339,0.840925,31.17,999
1964,14/08/1964,227,1963,15-Apr,2,sugar,alive,1,396,1962,15/7/1963,105,0,0,318,1964,21,2039,6314.98,5546.97,4797.14,145.89,2576.43,,17481.539,6992.615,90.772,18.822,61.212,61.212,1.752,9311.083,9312.835,145846.224,0.824,19,2090,612.7,7.901,1213.262,466.075,1157.748,322.694,1480.442,15.333,9288.873,1.257,9290.13,146308.337,200,269.191,319.972,23.555,0,8.435,5.052,5703.997,350,0.94,4025.3,14.8,1610.1,0,0,17.172,29.171,19.499,92.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T4,2702.7,2556.075,1221.163,1543.857,31.99,8.435,5.70757900296353,0.0985448940248926,5.74370078740157,0.72945,25.764,999
1965,14/09/1965,257,1964,15-Apr,2,sugar,alive,2,396,1962,14/8/1964,105,0,0,318,1965,21,2039,6881.31,6210.64,5238.75,162.027,2947.42,,16323.132,6529.252,77.986,19.475,62.309,62.309,1.257,9288.873,9290.13,146308.337,0.82,20,2200,831.2,208.484,1248.867,449.348,1230.057,332.301,1562.357,10.923,9266.958,1.07,9268.029,147078.56,200,259.212,320.618,35.769,0.001,7.707,7.052,5651.526,350,0.93,3792.2,13.9,1516.9,0,0,17.287,29.163,19.689,107.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T4,3031.2,2649.348,1457.351,1789.652,43.477,7.708,6.11573111573112,0.103706771243704,6.11422641509434,0.810135,29.474,999
1966,14/10/1966,287,1965,15-Apr,2,sugar,alive,3,395,1962,14/9/1965,105,0,0,318,1966,21,2039,6946.62,6188.21,5318.91,163.19,3014.29,,17185.145,6874.057,79.074,19.819,73.802,73.802,1.07,9266.958,9268.029,147078.56,0.812,22,2420,392.1,162.691,1171.992,278.609,1200.222,290.267,1490.489,8.47,9256.677,1.193,9257.87,148133.536,200,255.202,316.692,32.565,0.001,7.903,6.311,5824.924,350,0.957,4492,16.5,1796.8,0,0,17.785,28.871,19.833,102.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T4,2812.1,2698.609,1334.683,1624.95,40.469,7.904,6.04718949651469,0.109487557439203,5.68606271777003,0.81595,30.143,999
