year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalNGCane,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAlloc,IrrigAmt,IrrigFreq,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH
1956,14/04/1956,105,0,15-Apr,0,none,out,-1,0,-1,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,908.8,24.993,440.807,459.959,0,277.705,277.705,20.633,9506.462,28.504,9534.966,141792.539,0,0,34.66,7.699,0.206,1.19,1.16,1030.058,350,0,0.5,0,0.2,0,0,22.406,30.649,17.187,67.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15AprV1R4,T4,908.8,459.959,465.8,743.505,9.095,1.396,0,0,0,,0
1957,14/07/1957,195,1956,15-Apr,1,sugar,alive,0,456,1956,14/4/1956,105,0,0,318,1957,21,2039,6741.83,6001.56,5231.97,160.986,2847.86,15098.7,0,0,0,18.859,130.8,194.845,194.845,28.504,9506.462,9534.966,141792.539,0.884,11,1210,1202.9,114.967,931.133,789.978,1077.313,426.337,1503.65,26.218,9424.2,0.772,9424.972,141377.25,200,294.162,315.509,29.999,0.531,18.943,6.48,3253.381,350,0.967,4880.3,17.9,1952.1,0,0,16.955,27.951,18.212,77.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15AprV1R4,T4,2412.9,1999.978,1046.1,1472.437,49.473,19.474,8.04938854327398,0.107063478868088,9.69795180722891,0.80493,28.479
1958,14/08/1958,226,1957,15-Apr,1,sugar,alive,1,396,1956,14/7/1957,105,0,0,318,1958,21,2039,5659.9,4956.94,4260.99,129.09,2276.71,13989.1,16982.107,6792.842,90.122,18.793,86.8,57.996,57.996,0.772,9424.2,9424.972,141377.25,0.869,13,1430,1020.9,135.334,1013.582,506.26,976.297,328.429,1304.725,11.197,9426.606,0.942,9427.548,142083.372,200,245.303,289.603,16.785,0,7.117,3.698,5085.627,350,0.931,3818,14,1527.2,0,0,17.772,29.136,19.572,136.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15AprV1R4,T4,2450.9,1936.26,1148.916,1477.345,23.902,7.117,6.6669765424065,0.098940389737301,6.86648936170213,0.64545,22.767
1959,14/09/1959,257,1958,15-Apr,1,sugar,alive,2,396,1956,14/8/1958,105,0,0,318,1959,21,2039,6146.66,5402.4,4672.93,141.895,2524.9,14737.2,15136.093,6054.437,72.938,18.987,93.7,55.256,55.256,0.942,9426.606,9427.548,142083.372,0.866,9,990,875.3,10.22,562.12,560.247,1011.333,286.575,1297.908,6.006,9413.242,0.88,9414.122,142908.16,200,259.418,304.87,23.483,0,6.285,4.899,5217.674,350,0.957,4508.9,16.5,1803.6,0,0,16.929,28.362,19.643,162.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15AprV1R4,T4,1865.3,1550.247,572.34,858.915,29.768,6.285,9.15305754502347,0.109325930651479,9.85381944444445,0.709475,25.249
1960,13/10/1960,287,1959,15-Apr,1,sugar,alive,3,395,1956,14/9/1959,105,0,0,318,1960,21,2039,6833.83,6083.23,5211.92,159.66,2963.4,16219,16359.231,6543.693,81.899,19.93,95.2,50.31,50.31,0.88,9413.242,9414.122,142908.16,0.86,10,1100,1112.7,37.126,817.341,587.759,1069.904,283.312,1353.216,10.395,9393.204,1.215,9394.419,143725.424,200,268.027,319.771,26.43,0,7.177,5.369,5643.293,350,0.96,4585.1,16.8,1834.1,0,0,17.803,28.647,20.438,210.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15AprV1R4,T4,2212.7,1687.759,854.467,1137.779,33.607,7.177,9.45988141671886,0.117985598751419,10.3006451612903,0.7983,29.634
1961,13/11/1961,317,1960,15-Apr,1,sugar,alive,4,396,1956,13/10/1960,105,0,0,318,1961,21,2039,6369.06,5705.53,4823.17,148.775,3007.15,15458.9,17683.55,7073.42,86.323,21.962,101,55.329,55.329,1.215,9393.204,9394.419,143725.424,0.852,14,1540,499,80.055,547.793,350.848,1104.755,294.842,1399.598,4.879,9375.598,1.78,9377.378,144557.911,200,263.623,319.142,33.058,0.001,3.988,6.418,5796.273,350,0.911,3451.4,12.7,1380.6,0,0,16.991,29.222,21.178,63.2,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15AprV1R4,T4,2039,1890.848,627.848,922.69,37.047,3.989,7.86816285603073,0.106298379963389,7.47613065326633,0.743875,30.072
1962,15/04/1962,105,0,15-Apr,1,none,out,-1,0,1956,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,0,16073.743,6429.498,76.271,0,0,66.885,66.885,1.78,9375.598,9377.378,144557.911,0.846,0,0,875.8,69.206,394.391,465.234,0,315.561,315.561,18.742,9446.779,30.808,9477.586,146921.396,0,0,40.183,3.595,0.001,1.912,0.366,3739.151,350,0,0.3,0,0.1,0,0,21.944,31.478,21.317,102.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15AprV1R4,T4,875.8,465.234,463.597,779.158,5.508,1.913,0,0,0,,0
1963,15/07/1963,196,1962,15-Apr,2,sugar,alive,0,456,1962,15/4/1962,105,0,0,318,1963,21,2039,6540.73,5795.59,5043.16,154.434,2924.56,14975.7,0,0,0,20.393,179.2,163.527,163.527,30.808,9446.779,9477.586,146921.396,0.843,14,1540,1147.9,209.787,1111.652,614.583,1110.625,357.198,1467.824,17.953,9296.845,1.966,9298.811,144790.496,200,358.505,386.693,32.595,0.002,23.076,6.93,5194.813,350,0.951,4294.8,15.7,1717.9,0,0,16.968,28.851,18.604,91.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15AprV1R4,T4,2687.9,2154.583,1321.439,1678.637,55.673,23.078,7.16769787935763,0.105212886558606,7.76050251256281,0.77217,29.246
1964,14/08/1964,227,1963,15-Apr,2,sugar,alive,1,396,1962,15/7/1963,105,0,0,318,1964,21,2039,5641.47,4920.25,4245.66,128.25,2317.56,13958.1,16379.942,6551.977,84.935,19.327,107.8,62.165,62.165,1.966,9296.845,9298.811,144790.496,0.826,12,1320,612.7,3.487,618.789,457.162,1011.347,307.085,1318.432,7.331,9276.735,1.223,9277.957,145205.296,200,266.504,312.187,22.196,0,6.599,4.794,5343.933,350,0.932,3841.2,14.1,1536.5,0,0,17.172,29.171,19.499,92.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15AprV1R4,T4,1932.7,1777.162,622.276,929.361,28.795,6.599,7.2165621367101,0.0972746413921992,7.24576271186441,0.64125,23.176
1965,14/09/1965,257,1964,15-Apr,2,sugar,alive,2,396,1962,14/8/1964,105,0,0,318,1965,21,2039,5863.51,5209.14,4459.65,136.579,2574.83,14038.6,15129.383,6051.754,82.234,20.288,103.5,54.159,54.159,1.223,9276.735,9277.957,145205.296,0.823,11,1210,831.2,21.941,684.655,508.494,1019.361,319.578,1338.939,7.033,9250.266,1.065,9251.331,145797.013,200,263.835,316.317,30.886,0,7.306,6.325,5181.693,350,0.93,3804.2,14,1521.7,0,0,17.287,29.163,19.689,107.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,999,110,SWBased_900_60_30_15_60,P2R,15AprV1R4,T4,2041.2,1718.494,706.596,1026.174,38.192,7.306,7.94759830409649,0.10200539382302,8.22765060240964,0.682895,25.748
