year,today,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,ratoon_no,sugarDAS,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalNGCane,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalN2O,totalCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigFreq,MillMudAmt,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,sucroseTH,IrrigAlloc
1956,14/04/1956,105,0,15-Apr,0,none,out,-1,0,-1,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,908.8,24.993,440.807,459.959,0,277.705,277.705,20.633,9506.478,28.49,9534.968,141792.453,0,0,34.644,7.699,0.206,1.19,1.16,1030.319,350,0,0.1,0,0,0,0,22.406,30.649,17.187,67.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T5,908.8,459.959,465.8,743.505,9.095,1.396,0,0,0,,0,999
1957,14/07/1957,195,1956,15-Apr,1,sugar,alive,0,456,1956,14/4/1956,105,0,0,318,1957,21,2039,7886.93,7112.84,6101.93,189.319,3249.78,17850,0,0,0,18.214,128.4,194.845,194.845,28.49,9506.478,9534.968,141792.453,0.884,19,2090,1202.9,190.646,1503.594,692.957,1300.457,416.088,1716.544,32.631,9421.644,0.821,9422.465,141372.963,200,292.136,324.905,39.575,0.581,16.346,8.358,3469.407,350,0.972,5097.6,18.7,2039,0,0,16.955,27.951,18.212,77.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T5,3292.9,2782.957,1694.24,2110.328,56.502,16.927,6.80280004326334,0.110290793594571,7.45350393700787,0.946595,32.498,999
1958,14/08/1958,226,1957,15-Apr,1,sugar,alive,1,396,1956,14/7/1957,105,0,0,318,1958,21,2039,6156.73,5448.6,4747.92,145.24,2611.9,14088.1,19505.492,7802.196,90.065,19.219,79.7,76.962,76.962,0.821,9421.644,9422.465,141372.963,0.868,18,1980,1020.9,397.687,1163.084,487.515,1136.08,318.138,1454.219,7.681,9434.833,0.958,9435.791,142354.376,200,233.232,291.718,28.084,0.001,1.609,5.569,5466.328,350,0.935,3912.2,14.4,1564.9,0,0,17.772,29.136,19.572,136.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T5,3000.9,2467.515,1560.771,1878.909,29.694,1.61,5.88608377254039,0.0998749156763871,5.97695473251029,0.7262,26.119,999
1959,14/09/1959,257,1958,15-Apr,1,sugar,alive,2,396,1956,14/8/1958,105,0,0,318,1959,21,2039,7090.78,6360.12,5462.81,168.306,3044.82,16279.8,15300.309,6120.125,61.51,19.352,89.4,62.871,62.871,0.958,9434.833,9435.791,142354.376,0.865,19,2090,875.3,327.858,1130.557,476.002,1211.114,289.325,1500.438,10.076,9426.149,1.141,9427.29,143272.366,200,252.542,309.615,32.845,0.001,2.32,6.392,5642.953,350,0.951,4314.1,15.8,1725.6,0,0,16.929,28.362,19.643,162.8,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T5,2965.3,2566.002,1458.415,1747.74,35.166,2.321,6.55907516829683,0.112171245996169,6.62622047244095,0.84153,30.448,999
1960,13/10/1960,287,1959,15-Apr,1,sugar,alive,3,395,1956,14/9/1959,105,0,0,318,1960,21,2039,7257.33,6506.31,5658.51,174.582,3240.36,15988.2,17504.778,7001.912,75.154,19.93,90.5,69.317,69.317,1.141,9426.149,9427.29,143272.366,0.858,20,2200,1112.7,333.57,1521.445,489.222,1178.38,288.332,1466.712,17.565,9412.012,1.42,9413.432,144277.334,200,258.913,323.827,38.06,0.002,2.768,7.212,6038.426,350,0.957,4484.1,16.4,1793.6,0,0,17.803,28.647,20.438,210.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T5,3312.7,2689.222,1855.015,2143.347,40.83,2.77,6.49191476196461,0.119029502724461,6.588,0.87291,32.404,999
1961,13/11/1961,317,1960,15-Apr,1,sugar,alive,4,396,1956,13/10/1960,105,0,0,318,1961,21,2039,7280.34,6538.8,5640.91,174.826,3527.51,16394.3,17401.441,6960.576,76.007,21.918,98.5,60.291,60.291,1.42,9412.012,9413.432,144277.334,0.85,22,2420,499,208.443,1057.119,292.029,1325.489,314.707,1640.197,11.024,9389.207,2.021,9391.228,144991.432,200,264.795,332.27,42.596,0.002,2.516,8.035,6389.393,350,0.929,3788.4,13.9,1515.4,0,0,16.991,29.222,21.178,63.2,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T5,2919,2712.029,1265.562,1580.269,45.114,2.518,6.44631749881731,0.106588415903699,6.09149825783972,0.87413,35.275,999
1962,15/04/1962,105,0,15-Apr,1,none,out,-1,0,1956,0.000,105,0,0,318,-1,21,2039,0,0,0,0,0,0,17155.355,6862.142,75.248,0,0,73.533,73.533,2.021,9389.207,9391.228,144991.432,0.842,0,0,875.8,93.516,371.686,476.291,0,320.437,320.437,17.521,9477.083,20.52,9497.603,147706.874,0,0,27.803,2.274,0.001,1.176,0.191,4116.033,350,0,0.1,0,0,0,0,21.944,31.478,21.317,102.1,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T5,875.8,476.291,465.202,785.639,3.451,1.177,0,0,0,,0,999
1963,15/07/1963,196,1962,15-Apr,2,sugar,alive,0,456,1962,15/4/1962,105,0,0,318,1963,21,2039,7057.56,6258.92,5479.78,168.145,3116.37,15777.8,0,0,0,19.897,176.1,163.695,163.695,20.52,9477.083,9497.603,147706.874,0.841,19,2090,1147.9,218.013,1524.518,666.097,1229.575,368.338,1597.913,24.971,9313.564,1.756,9315.32,145167.257,200,360.247,401.426,39.023,0.002,19.552,8.142,5677.893,350,0.964,4762,17.4,1904.8,0,0,16.968,28.851,18.604,91.9,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T5,3237.9,2756.097,1742.531,2110.869,58.577,19.554,6.10083752494923,0.105227881618086,6.61988188976378,0.840725,31.164,999
1964,14/08/1964,227,1963,15-Apr,2,sugar,alive,1,396,1962,15/7/1963,105,0,0,318,1964,21,2039,6627.66,5852.17,5099.33,155.921,2707.24,15283.3,17458.792,6983.517,90.684,18.456,103.5,61.152,61.152,1.756,9313.564,9315.32,145167.257,0.824,19,2090,612.7,180.2,964.839,476.607,1238.571,318.095,1556.666,8.473,9294.378,1.291,9295.668,145400.867,200,254.496,320.574,41.183,0.002,3.237,8.071,5998.339,350,0.94,4011.4,14.7,1604.6,0,0,17.172,29.171,19.499,92.7,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T5,2702.7,2566.607,1145.039,1463.134,44.422,3.239,6.07498537953025,0.100163426194187,6.13862204724409,0.779605,27.072,999
1965,14/09/1965,257,1964,15-Apr,2,sugar,alive,2,396,1962,14/8/1964,105,0,0,318,1965,21,2039,6882.6,6214.03,5247.65,162.351,2984.21,16349.5,16400.486,6560.195,71.21,19.709,94.2,62.147,62.147,1.291,9294.378,9295.668,145400.867,0.819,20,2200,831.2,269,1188.089,441.13,1230.737,331.71,1562.447,10.52,9271.996,1.161,9273.157,145806.285,200,257.842,324.18,41.605,0.003,2.6,8.011,6099.309,350,0.93,3796.5,13.9,1518.6,0,0,17.287,29.163,19.689,107.4,Burdekin,AyrDPI,Mulg,1956,Furrow,BareFallow,35,Surf1,200,110,LowFreq,0,P2R,15AprV1R4,T5,3031.2,2641.13,1457.089,1788.799,44.208,2.603,6.1470279766615,0.103908164564942,6.12645283018868,0.811755,29.842,999
