today,year,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,sugarWasSavedBySW,sugarWasSavedByIrrig,ratoon_no,sugarDAS,sugarStage,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,greenwt,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalNGCane,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,biomass_n,green_biomass_n,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalSoilN2O,totalSoilCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigAlloc,MaxIrrigNum,IrrigFreq,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,NUPE,sucroseTH,IrrigAllocOrig
01/05/1957,1957,121,0,01-May,0,none,out,0,0,-1,0,6,-1,0.000,121,0,0,181,-1,14,2616,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1.327,0,0,514,0,289.107,224.893,0,196.389,196.389,13.134,6529.918,127.862,6657.781,109174.966,0,0,102.679,2.432,0,7.48,0.594,1124.277,350,0,0.2,0,0.1,0,0,20.618,29.282,19.375,84.8,Mackay,Mackay,Pind,1957,Furrow,BareFallow,42,MW_Surf2,130_150,100,3,3,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,514,224.893,289.107,485.496,9.912,7.48,0,0,0,,,0,3_3
01/09/1958,1958,244,1957,01-May,1,sugar,alive,0,0,0,488,4.641,1957,1/5/1957,121,0,0,181,1958,14,2616,4757.42,4229.71,4905.17,3734.87,114.001,1667.78,,0,0,0,15.094,114.6,58.303,58.303,127.862,6529.918,6657.781,109174.966,18.9,16.97,1.304,3,300,3207.2,316.267,1997.108,1138.073,717.967,467.288,1185.255,14.197,6456.25,11.105,6467.356,108869.191,130,256.195,251.872,58.071,28.978,9.613,10.86,3215.831,350,0.821,2453.9,9,981.6,0,0,16.357,26.794,18.722,376.2,Mackay,Mackay,Pind,1957,Furrow,BareFallow,42,MW_Surf2,130_150,100,3,3,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,3507.2,1438.073,2313.375,2780.663,96.662,38.591,7.92734443939911,0.0961826779891247,15.2001333333333,0.876930769230769,0.444977458576475,16.678,3_3
01/09/1959,1959,244,1958,01-May,1,sugar,alive,0,0,1,365,4.46,1957,1/9/1958,121,0,0,181,1959,14,2616,4072.16,3551.67,4338.77,3088.79,93.727,1679.83,,0,0,0,19.145,63.8,66.874,56.874,11.105,6456.25,6467.356,108869.191,10.93,9.03,1.284,3,300,1655.8,604.1,540.341,942.109,628.174,198.28,826.454,1.424,6554.592,2.979,6557.571,109868.403,150,163.828,225.964,5.447,8.403,5.721,1.141,7283.796,350,0.829,2520.6,9.5,1008.2,0,0,16.897,27.133,19.482,175.5,Mackay,Mackay,Pind,1957,Furrow,BareFallow,42,MW_Surf2,130_150,100,3,3,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1955.8,1242.109,1144.441,1342.721,19.571,14.124,7.54579509527747,0.113408610763576,12.4969333333333,0.624846666666667,0.572106111287448,16.798,3_3
01/08/1960,1960,214,1959,01-May,1,sugar,alive,0,0,2,335,4.374,1957,1/9/1959,121,0,0,181,1960,14,2616,4153.09,3649.14,4537.37,3039.24,93.135,1620.83,,0,0,0,18.506,71.3,51.779,41.779,2.979,6554.592,6557.571,109868.403,12.67,10.83,1.308,3,300,2220.2,665.422,1079.099,882.072,600.027,163.551,763.578,1.28,6600.952,2.556,6603.508,110261.829,150,183.675,255.222,11.103,1.902,1.173,2.221,7587.504,350,0.77,2096.5,7.9,838.6,0,0,17.507,27.169,19.558,235.7,Mackay,Mackay,Pind,1957,Furrow,BareFallow,42,MW_Surf2,130_150,100,3,3,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,2520.2,1182.072,1744.521,1908.072,14.178,3.075,7.87896168761294,0.12197182213212,12.418,0.6209,0.507064107799102,16.208,3_3
01/07/1961,1961,182,1960,01-May,1,sugar,alive,0,0,3,334,4.377,1957,1/8/1960,121,0,0,181,1961,14,2616,4541.84,3928.21,4922.89,3313.96,100.962,1712.35,,0,0,0,17.961,88,63.881,53.881,2.556,6600.952,6603.508,110261.829,15.17,12.92,1.32,3,300,984.9,209.6,236.077,718.448,673.434,171.808,845.242,0.617,6636.022,4.016,6640.038,110782.061,150,213.89,281.788,5.947,0.313,1.04,1.281,8199.43,350,0.779,2158.1,8.1,863.2,0,0,17.037,27.256,20.436,136.7,Mackay,Mackay,Pind,1957,Furrow,BareFallow,42,MW_Surf2,130_150,100,3,3,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1284.9,1018.448,445.677,617.485,7.3,1.353,9.91331908943805,0.119447448186437,13.4616,0.67308,0.472027677778297,17.124,3_3
01/07/1962,1962,182,1961,01-May,1,sugar,alive,0,0,4,365,4.452,1957,1/7/1961,121,0,0,181,1962,14,2616,4471.76,3832.09,4817.72,3367.53,102.089,1627.34,,0,0,0,16.707,100.5,57.861,47.861,4.016,6636.022,6640.038,110782.061,16.07,13.73,1.329,3,300,1314,410.394,342.142,868.957,674.621,183.925,858.546,0.92,6677.384,1.787,6679.17,111326.509,150,225.785,294.895,5.694,1.07,2.196,1.11,9235.206,350,0.784,2190.6,8.2,876.2,0,0,17.321,27.276,19.653,153.2,Mackay,Mackay,Pind,1957,Furrow,BareFallow,42,MW_Surf2,130_150,100,3,3,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1614,1168.957,752.536,936.461,8.96,3.266,8.73334091844268,0.118909179007298,13.6118666666667,0.680593333333333,0.452151382952809,16.273,3_3
01/07/1963,1963,182,1962,01-May,1,sugar,alive,0,0,5,365,4.484,1957,1/7/1962,121,0,0,181,1963,14,2616,4720.38,4068.48,5087.08,3488.95,105.501,1573.73,,0,0,0,15.448,121.1,60.779,50.779,1.787,6677.384,6679.17,111326.509,18.79,16.4,1.342,3,300,2702.1,531.627,1532.757,946.432,734.655,195.317,929.972,6.782,6680.817,2.913,6683.73,111444.353,150,257.43,324.335,3.693,0.512,7.141,0.89,9371.027,350,0.794,2259.5,8.4,903.8,0,0,17.871,27.641,18.893,406.4,Mackay,Mackay,Pind,1957,Furrow,BareFallow,42,MW_Surf2,130_150,100,3,3,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,3002.1,1246.432,2064.384,2259.701,11.346,7.653,8.46424032759108,0.113445351042827,14.0668,0.70334,0.409824029833353,15.737,3_3
01/07/1964,1964,183,1963,01-May,1,sugar,alive,0,0,6,366,4.467,1957,1/7/1963,121,0,0,181,1964,14,2616,5307.12,4715.47,5826.28,4006.72,123.91,2028.77,,0,0,0,17.239,119.5,68.523,58.523,2.913,6680.817,6683.73,111444.353,18.22,16.05,1.344,3,300,1026,201.394,143.884,872.792,778.683,186.202,964.884,0.332,6690.604,7.769,6698.374,111561.998,150,244.366,320.717,19.47,2.026,1.473,3.765,9966.765,350,0.73,1869.8,7,747.9,0,0,17.496,27.22,19.699,68.1,Mackay,Mackay,Pind,1957,Furrow,BareFallow,42,MW_Surf2,130_150,100,3,3,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1326,1172.792,345.278,531.48,22.969,3.499,10.565385848471,0.128419582043023,16.5213333333333,0.826066666666667,0.507067267950533,20.288,3_3
01/05/1965,1965,121,0,01-May,1,none,out,0,0,-1,0,6,1957,0.000,121,0,0,181,-1,14,2616,0,0,0,0,0,0,,0,0,0,0,0,84.362,74.362,7.769,6690.604,6698.374,111561.998,0,0,1.35,0,0,1011.1,465.77,143.269,733.532,0,276.262,276.262,2.052,6766.843,65.162,6832.005,111974.932,0,0,131.242,19.484,3.872,1.123,3.078,9985.141,350,0.006,8.8,0,3.5,0,0,18.378,28.021,20.376,77.2,Mackay,Mackay,Pind,1957,Furrow,BareFallow,42,MW_Surf2,130_150,100,3,3,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1011.1,733.532,609.039,885.301,24.479,4.995,0,0,0,,,0,3_3
01/09/1966,1966,244,1965,01-May,2,sugar,alive,2,0,0,488,4.614,1965,1/5/1965,121,0,0,181,1966,14,2616,5002.79,4427.26,5108.98,3913.98,119.984,2244.46,,0,0,0,20.109,154.1,210.161,210.161,65.162,6766.843,6832.005,111974.932,22.5,20.39,1.362,3,300,1171.1,190.176,367.726,829.924,681.897,411.348,1093.245,10.757,6572.851,45.304,6618.156,110311.932,130,301.865,359.302,55.604,7.413,9.073,10.473,4336.123,350,0.82,2446.9,9,978.8,0,0,16.126,26.26,18.784,80,Mackay,Mackay,Pind,1957,Furrow,BareFallow,42,MW_Surf2,130_150,100,3,3,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1471.1,1129.924,557.902,969.25,72.09,16.486,10.6187672799233,0.109750330438282,15.9978666666667,0.922953846153846,0.397475692776572,22.445,3_3
