today,year,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,sugarWasSavedBySW,sugarWasSavedByIrrig,ratoon_no,sugarDAS,sugarStage,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,greenwt,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalNGCane,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,biomass_n,green_biomass_n,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalSoilN2O,totalSoilCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigAlloc,MaxIrrigNum,IrrigFreq,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,NUPE,sucroseTH,IrrigAllocOrig
01/05/1957,1957,121,0,01-May,0,none,out,0,0,-1,0,6,-1,0.000,121,0,0,181,-1,14,2616,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1.327,0,0,514,0,289.107,224.893,0,196.389,196.389,13.134,6529.918,127.862,6657.781,109174.966,0,0,102.679,2.432,0,7.48,0.594,1124.277,350,0,0.2,0,0.1,0,0,20.618,29.282,19.375,84.8,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,33,3,9,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,514,224.893,289.107,485.496,9.912,7.48,0,0,0,,,0,3_9
01/09/1958,1958,244,1957,01-May,1,sugar,alive,0,0,0,488,4.641,1957,1/5/1957,121,0,0,181,1958,14,2616,5061.61,4490.5,5205.06,3978.28,121.183,1749.49,,0,0,0,14.857,121.2,58.303,58.303,127.862,6529.918,6657.781,109174.966,20.64,18.55,1.304,9,297,3207.2,317.671,1928.335,1130.312,766.401,464.423,1230.823,13.331,6457.554,8.003,6465.557,108936.982,130,279.063,254.532,45.349,23.843,8.499,8.578,3339.8,350,0.854,2745.7,10.1,1098.3,0,0,16.357,26.794,18.722,376.2,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,33,3,9,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,3504.2,1427.312,2246.006,2710.429,77.691,32.342,8.49029504411089,0.0984568861647857,16.2226238286479,0.932176923076923,0.43424961388647,17.495,3_9
01/09/1959,1959,244,1958,01-May,1,sugar,alive,0,0,1,365,4.46,1957,1/9/1958,121,0,0,181,1959,14,2616,4133.84,3659.47,4469.65,3136.3,96.14,1764.53,,0,0,0,19.675,72.7,67.673,57.673,8.003,6457.554,6465.557,108936.982,11.91,10.17,1.283,7,231,1655.8,549.336,495.291,920.052,626.711,216.859,843.57,2.913,6561.568,3.249,6564.817,109923.652,150,175.108,244.811,4.814,5.96,0.953,1.024,7687.461,350,0.784,2189.1,8.2,875.6,0,0,16.897,27.133,19.482,175.5,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,33,3,9,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1886.8,1151.052,1044.627,1261.486,11.727,6.913,8.35235940687302,0.113968016880638,14.1174743024963,0.640933333333333,0.549032597025836,17.645,3_9
01/08/1960,1960,214,1959,01-May,1,sugar,alive,0,0,2,335,4.374,1957,1/9/1959,121,0,0,181,1960,14,2616,4619.85,4150.8,5112.59,3406.87,105.687,1870.92,,0,0,0,18.874,82,52.276,42.276,3.249,6561.568,6564.817,109923.652,14.15,12.43,1.31,6,198,2220.2,509.66,1031.359,924.799,662.77,185.164,847.934,2.057,6598.713,2.725,6601.438,110363.83,150,200.329,271.726,6.628,0.514,1.752,1.443,7625.858,350,0.748,1970,7.3,788,0,0,17.507,27.169,19.558,235.7,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,33,3,9,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,2418.2,1122.799,1541.019,1726.183,8.894,2.266,9.41281565088676,0.124640597027599,16.3097222222222,0.70458,0.527567152034903,18.709,3_9
01/07/1961,1961,182,1960,01-May,1,sugar,alive,0,0,3,334,4.387,1957,1/8/1960,121,0,0,181,1961,14,2616,4624.2,4035.51,5064.16,3388.62,103.852,1869.09,,0,0,0,19.237,86.3,69.524,59.524,2.725,6598.713,6601.438,110363.83,14.92,12.76,1.318,9,297,984.9,180.26,238.205,687.135,685.081,172.234,857.315,0.734,6644.563,3.627,6648.19,111252.689,150,211.216,285.017,4.656,0.159,0.59,1.147,8329.55,350,0.758,2024.8,7.6,809.9,0,0,17.037,27.256,20.436,136.7,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,33,3,9,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1281.9,984.135,418.465,590.699,5.405,0.749,10.5526172730367,0.121136338452028,13.9025435073628,0.692346666666667,0.49168623589122,18.691,3_9
01/07/1962,1962,182,1961,01-May,1,sugar,alive,0,0,4,365,4.452,1957,1/7/1961,121,0,0,181,1962,14,2616,5014.38,4428.65,5502.73,3740.91,115.161,1965.87,,0,0,0,18.097,110.1,57.645,47.645,3.627,6644.563,6648.19,111252.689,17.33,15.18,1.329,9,297,1314,315.79,332.021,865.528,755.475,182.925,938.4,0.971,6670.805,3.943,6674.747,111392.449,150,241.151,308.724,5.788,0.271,0.895,1.137,9791.125,350,0.736,1901.4,7.1,760.6,0,0,17.321,27.276,19.653,153.2,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,33,3,9,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1611,1162.528,647.811,830.736,6.954,1.166,9.90608398249332,0.122720588235294,15.4164658634538,0.76774,0.477547262918255,19.659,3_9
01/07/1963,1963,182,1962,01-May,1,sugar,alive,0,0,5,365,4.487,1957,1/7/1962,121,0,0,181,1963,14,2616,4765.9,4147.05,5203.93,3571.24,108.892,1704.2,,0,0,0,16.35,111.8,64.434,54.434,3.943,6670.805,6674.747,111392.449,17.29,15.02,1.337,9,297,2702.1,531.372,1507.07,910.531,748.036,190.827,938.863,6.127,6701.305,2.824,6704.129,111923.407,150,239.648,316.645,3.412,0.264,4.401,0.879,9647.936,350,0.777,2141.9,7.9,856.8,0,0,17.871,27.641,18.893,406.4,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,33,3,9,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,2999.1,1207.531,2038.442,2229.269,8.077,4.665,9.01773950316803,0.115982843077211,14.5772423025435,0.725946666666667,0.454383095206303,17.042,3_9
01/07/1964,1964,183,1963,01-May,1,sugar,alive,0,0,6,366,4.466,1957,1/7/1963,121,0,0,181,1964,14,2616,5573.73,4957.58,6115.21,4208.49,130.303,2158.11,,0,0,0,17.472,126.9,68.231,58.231,2.824,6701.305,6704.129,111923.407,19.37,17.11,1.346,9,297,1026,132.408,142.047,842.002,827.213,189.063,1016.276,0.463,6698.318,4.579,6702.897,111756.163,150,261.287,337.997,16.265,0.361,0.713,3.24,10201.487,350,0.74,1923,7.1,769.2,0,0,17.496,27.22,19.699,68.1,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,33,3,9,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1323,1139.002,274.455,463.518,17.339,1.074,11.4401028268607,0.128216153879458,17.4435073627845,0.868686666666667,0.498696835280745,21.581,3_9
01/05/1965,1965,121,0,01-May,1,none,out,0,0,-1,0,6,1957,0.000,121,0,0,181,-1,14,2616,0,0,0,0,0,0,,0,0,0,0,0,82.499,72.499,4.579,6698.318,6702.897,111756.163,0,0,1.35,0,0,1011.1,487.152,141.82,729.579,0,253.65,253.65,1.835,6794.639,56.141,6850.78,112379.737,0,0,123.475,15.921,1.652,0.807,2.449,10242.247,350,0.007,10,0,4,0,0,18.378,28.021,20.376,77.2,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,33,3,9,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1011.1,729.579,628.972,882.622,18.38,2.459,0,0,0,,,0,3_9
01/09/1966,1966,244,1965,01-May,2,sugar,alive,2,0,0,488,4.614,1965,1/5/1965,121,0,0,181,1966,14,2616,5446.58,4823.69,5555.2,4291.69,131.608,2448.2,,0,0,0,19.981,183.6,210.978,210.978,56.141,6794.639,6850.78,112379.737,26.77,24.49,1.366,9,297,1171.1,98.454,366.994,781.763,754.861,410.37,1165.231,13.559,6580.468,28.904,6609.372,110472.382,130,357.16,383.394,38.9,1.757,5.995,7.324,4781.588,350,0.859,2793.5,10.2,1117.4,0,0,16.126,26.26,18.784,80,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,33,3,9,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1468.1,1078.763,465.448,875.818,46.652,7.752,12.199899329139,0.11294584507278,17.6182061579652,1.01236923076923,0.368484712733789,24.482,3_9
