today,year,day,SowYear,SowDate,cropCycle,currentCrop,sugarStatus,sugarWasSavedBySW,sugarWasSavedByIrrig,ratoon_no,sugarDAS,sugarStage,sugarPlantYear,sugarPlantDate,sugarPlantingDAY,sugarPlantDelay,sugarHarvDelay,sugarLastHarvDAY,sugarHarvYear,realDelayForKill,totCycle,biomass,green_biomass,greenwt,cane_wt,canefw,sucrose_wt,residue_wt,burntDM,burntOrgC,burntOrgN,ccs,totalNGCane,totalInitTAW,totalInitPAW,totalInitInorgN,totalInitOrgN,totalInitSoilN,totalInitSoilC,biomass_n,green_biomass_n,meanInitOC2,irrigNum,totalIrrig,totalRain,totalDrain,totalRunoff,totalEffRain,totalTransp,totalEvap,totalEvapTr,totalSediment,totalSoilOrgN,totalSoilInorgN,totalSoilN,totalSoilC,totalFert,totalNUptake,totalNit,totalDeNit,totalNO3Leach,totalNO3Runoff,totalSoilN2O,totalSoilCO2,CO2,surfaceom_cover,surfaceom_wt,surfaceom_n,surfaceom_c,surfaceom_no3,surfaceom_nh4,meanTMin,meanTMax,meanRadn,maxRain,Region,WStation,Soil,StartYear,IrrigSys,Fallow,DryOff,Fert,FertAmt,IrrigAmt,IrrigAlloc,MaxIrrigNum,IrrigFreq,NRunOffModel,Planting,Tillage,totalWater,totalWaterEff,totalWaterLoss,totalWaterLossWithEvap,totalNLoss,totalNPol,GPWUI,CWUE,GPWUI_450,NUE,NUPE,sucroseTH,IrrigAllocOrig
01/05/1957,1957,121,0,01-May,0,none,out,0,0,-1,0,6,-1,0.000,121,0,0,181,-1,14,2616,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1.327,0,0,514,0,289.107,224.893,0,196.389,196.389,13.134,6529.918,127.862,6657.781,109174.966,0,0,102.679,2.432,0,7.48,0.594,1124.277,350,0,0.2,0,0.1,0,0,20.618,29.282,19.375,84.8,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,50,3,6,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,514,224.893,289.107,485.496,9.912,7.48,0,0,0,,,0,3_6
01/09/1958,1958,244,1957,01-May,1,sugar,alive,0,0,0,488,4.641,1957,1/5/1957,121,0,0,181,1958,14,2616,5107.08,4536.12,5255.07,4023.83,122.728,1754.95,,0,0,0,14.688,122.5,58.303,58.303,127.862,6529.918,6657.781,109174.966,20.74,18.65,1.304,6,300,3207.2,316.61,1920.86,1135.135,778.116,464.264,1242.379,12.944,6457.601,7.364,6464.964,108944.307,130,280.31,254.43,46.03,22.605,8.534,8.706,3341.78,350,0.852,2733.5,10,1093.4,0,0,16.357,26.794,18.722,376.2,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,50,3,6,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,3507.2,1435.135,2237.47,2701.734,77.169,31.139,8.55166935514777,0.0987846703783628,16.3637333333333,0.944061538461538,0.437829545859941,17.55,3_6
01/09/1959,1959,244,1958,01-May,1,sugar,alive,0,0,1,365,4.46,1957,1/9/1958,121,0,0,181,1959,14,2616,4306.28,3828.93,4664.87,3266.72,100.251,1856.02,,0,0,0,19.872,72.2,67.655,57.655,7.364,6457.601,6464.964,108944.307,11.91,10.16,1.283,6,300,1655.8,594.18,486.599,911.611,660.321,210.062,870.383,2.351,6561.085,3.273,6564.358,109906.758,150,176.517,245.191,4.399,5.55,0.942,0.961,7804.609,350,0.797,2274.8,8.5,909.9,0,0,16.897,27.133,19.482,175.5,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,50,3,6,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1955.8,1211.611,1080.779,1290.841,10.891,6.492,8.27419031355774,0.115180328659912,13.3668,0.66834,0.567939631876816,18.56,3_6
01/08/1960,1960,214,1959,01-May,1,sugar,alive,0,0,2,335,4.374,1957,1/9/1959,121,0,0,181,1960,14,2616,4396.6,3945.01,4888.1,3234.52,100.228,1791.62,,0,0,0,19.087,81,54.294,44.294,3.273,6561.085,6564.358,109906.758,13.82,12.16,1.309,4,200,2220.2,553.098,1032.42,905.838,630.773,177.522,808.295,1.57,6601.431,2.948,6604.38,110294.212,150,197.389,273.571,7.197,0.486,1.38,1.582,7867.018,350,0.744,1946.2,7.3,778.5,0,0,17.507,27.169,19.558,235.7,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,50,3,6,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,2420.2,1105.838,1585.518,1763.04,9.063,1.866,9.0635337183204,0.123999282440198,15.4196923076923,0.668186666666667,0.507768923293598,17.916,3_6
01/07/1961,1961,182,1960,01-May,1,sugar,alive,0,0,3,334,4.384,1957,1/8/1960,121,0,0,181,1961,14,2616,4792.37,4158.91,5204.75,3511.48,107.254,1911.35,,0,0,0,19.02,88.5,68.682,58.682,2.948,6601.431,6604.38,110294.212,15.46,13.14,1.319,6,300,984.9,180.928,222.842,701.533,704.831,168.979,873.81,0.664,6639.819,3.477,6643.296,111063.023,150,217.18,283.657,4.924,0.162,0.464,1.197,8281.884,350,0.782,2175.4,8.1,870.2,0,0,17.037,27.256,20.436,136.7,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,50,3,6,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1284.9,1001.533,403.77,572.749,5.55,0.626,10.7089831288635,0.122742930385324,14.3005333333333,0.715026666666667,0.493848420664886,19.113,3_6
01/07/1962,1962,182,1961,01-May,1,sugar,alive,0,0,4,365,4.452,1957,1/7/1961,121,0,0,181,1962,14,2616,4345.56,3730.37,4719.77,3270.54,99.199,1605.79,,0,0,0,17.011,96.2,58.003,48.003,3.477,6639.819,6643.296,111063.023,15.35,13.09,1.329,6,300,1314,398.247,355.633,821.81,656.828,183.011,839.839,0.963,6694.75,1.667,6696.416,111620.952,150,217.56,290.668,5.369,0.442,0.916,1.046,9516.96,350,0.777,2142.4,8,857,0,0,17.321,27.276,19.653,153.2,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,50,3,6,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1614,1121.81,753.88,936.891,6.727,1.358,8.8427630347385,0.118116686650656,13.2265333333333,0.661326666666667,0.455961573818717,16.058,3_6
01/07/1963,1963,182,1962,01-May,1,sugar,alive,0,0,5,365,4.484,1957,1/7/1962,121,0,0,181,1963,14,2616,5020.13,4347.21,5407.21,3756.92,114.199,1698.89,,0,0,0,15.398,123.5,60.284,50.284,1.667,6694.75,6696.416,111620.952,19.19,16.73,1.344,6,300,2702.1,494.353,1492.422,945.994,792.936,196.038,988.974,7.467,6693.451,2.789,6696.24,111738.293,150,262.501,326.167,4.264,0.299,4.395,0.996,9303.034,350,0.802,2313.8,8.6,925.5,0,0,17.871,27.641,18.893,406.4,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,50,3,6,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,3002.1,1245.994,1986.775,2182.813,8.958,4.694,9.16529293078458,0.115472196437925,15.2265333333333,0.761326666666667,0.435042152220373,16.989,3_6
01/07/1964,1964,183,1963,01-May,1,sugar,alive,0,0,6,366,4.468,1957,1/7/1963,121,0,0,181,1964,14,2616,5431.02,4826.06,5966.18,4104.75,127,2119.34,,0,0,0,17.626,123.7,68.636,58.636,2.789,6693.451,6696.24,111738.293,18.8,16.59,1.345,6,300,1026,161.915,139.159,842.864,806.86,185.473,992.333,0.448,6702.976,5.749,6708.725,111772.98,150,253.836,333.019,17.245,0.866,0.658,3.429,10322.053,350,0.734,1893.4,7.1,757.4,0,0,17.496,27.22,19.699,68.1,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,50,3,6,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1326,1142.864,301.074,486.547,18.769,1.524,11.1124333254,0.127981232106561,16.9333333333333,0.846666666666667,0.500323043224759,21.193,3_6
01/05/1965,1965,121,0,01-May,1,none,out,0,0,-1,0,6,1957,0.000,121,0,0,181,-1,14,2616,0,0,0,0,0,0,,0,0,0,0,0,83.23,73.23,5.749,6702.976,6708.725,111772.98,0,0,1.352,0,0,1011.1,470.924,142.497,732.935,0,270.372,270.372,1.996,6784.362,64.763,6849.126,112216.012,0,0,131.823,18.915,2.411,1.056,2.964,10185.283,350,0.006,9.1,0,3.7,0,0,18.378,28.021,20.376,77.2,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,50,3,6,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1011.1,732.935,613.421,883.793,22.382,3.467,0,0,0,,,0,3_6
01/09/1966,1966,244,1965,01-May,2,sugar,alive,2,0,0,488,4.614,1965,1/5/1965,121,0,0,181,1966,14,2616,5368.89,4755.15,5478.77,4227.15,129.625,2433.65,,0,0,0,20.193,176.7,210.537,210.537,64.763,6784.362,6849.126,112216.012,25.93,23.68,1.365,6,300,1171.1,118.586,348.342,793.621,744.049,422.29,1166.338,12.67,6579.165,33.129,6612.294,110472.671,130,346.317,374.066,44.622,2.676,5.295,8.438,4589.104,350,0.853,2738.4,10,1095.4,0,0,16.126,26.26,18.784,80,Mackay,Mackay,Pind,1957,LPOH_5_15,BareFallow,42,MW_Surf2,130_150,50,3,6,SWD_0_50_200_50_50,P2R,MW_01MayR6V1,MW_T3,1471.1,1093.621,466.928,889.218,52.593,7.971,11.8528265276545,0.111138452146805,17.2833333333333,0.997115384615385,0.374295804133207,24.337,3_6
