timestamp,nmi,interval_kwh,demand_kw,demand_kva
2026-07-01 00:00,SAMPLE000001,19.400,38.800,43.111
2026-07-01 00:30,SAMPLE000001,19.800,39.600,44.000
2026-07-01 01:00,SAMPLE000001,20.200,40.400,44.889
2026-07-01 01:30,SAMPLE000001,20.600,41.200,45.778
2026-07-01 02:00,SAMPLE000001,21.000,42.000,46.667
2026-07-01 02:30,SAMPLE000001,21.400,42.800,47.556
2026-07-01 03:00,SAMPLE000001,21.800,43.600,48.444
2026-07-01 03:30,SAMPLE000001,19.000,38.000,42.222
2026-07-01 04:00,SAMPLE000001,19.400,38.800,43.111
2026-07-01 04:30,SAMPLE000001,19.800,39.600,44.000
2026-07-01 05:00,SAMPLE000001,20.200,40.400,44.889
2026-07-01 05:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 06:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 06:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 07:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 07:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 08:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 08:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 09:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 09:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 10:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 10:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 11:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 11:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 12:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 12:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 13:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 13:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 14:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 14:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 15:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 15:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 16:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 16:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 17:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 17:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 18:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 18:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 19:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 19:30,SAMPLE000001,19.000,38.000,42.222
2026-07-01 20:00,SAMPLE000001,19.400,38.800,43.111
2026-07-01 20:30,SAMPLE000001,19.800,39.600,44.000
2026-07-01 21:00,SAMPLE000001,20.200,40.400,44.889
2026-07-01 21:30,SAMPLE000001,20.600,41.200,45.778
2026-07-01 22:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 22:30,SAMPLE000001,0.000,0.000,0.000
2026-07-01 23:00,SAMPLE000001,0.000,0.000,0.000
2026-07-01 23:30,SAMPLE000001,0.000,0.000,0.000
