account_id,nmi,billing_month,days_billed,total_kwh,peak_kwh,shoulder_kwh,offpeak_kwh,demand_kw,demand_kva,bill_cost
A001,SAMPLE000001,2024-07,31,12555.93,,,,,,
A001,SAMPLE000001,2024-08,31,15243.55,,,,,,
A001,SAMPLE000001,2024-09,30,15986.48,,,,,,
A001,SAMPLE000001,2024-10,31,18460.13,,,,,,
A001,SAMPLE000001,2024-11,30,17820.60,,,,,,
A001,SAMPLE000001,2024-12,31,18641.11,,,,,,
A001,SAMPLE000001,2025-01,31,16323.04,,,,,,
A001,SAMPLE000001,2025-02,28,15696.33,,,,,,
A001,SAMPLE000001,2025-03,31,13090.23,,,,,,
A001,SAMPLE000001,2025-04,30,12691.44,,,,,,
A001,SAMPLE000001,2025-05,31,11505.91,,,,,,
A001,SAMPLE000001,2025-06,30,12812.31,,,,,,
A001,SAMPLE000001,2025-07,31,13357.38,,,,,,
A001,SAMPLE000001,2025-08,31,14187.07,,,,,,
A001,SAMPLE000001,2025-09,30,16996.15,,,,,,
A001,SAMPLE000001,2025-10,31,17193.26,,,,,,
A001,SAMPLE000001,2025-11,30,18934.38,,,,,,
A001,SAMPLE000001,2025-12,31,17374.24,,,,,,
A001,SAMPLE000001,2026-01,31,17332.71,,,,,,
A001,SAMPLE000001,2026-02,28,14639.85,,,,,,
A001,SAMPLE000001,2026-03,31,13891.67,,,,,,
A001,SAMPLE000001,2026-04,30,11845.35,,,,,,
A001,SAMPLE000001,2026-05,31,12203.23,,,,,,
A001,SAMPLE000001,2026-06,30,11966.22,,,,,,
A001,SAMPLE000001,2026-07,31,14158.82,,,,,,
A001,SAMPLE000001,2026-08,31,15092.63,,,,,,
